,0
0,0.20401886
1,1.0
2,0.99999696
3,1.0
4,1.0
5,0.99999994
6,1.0
7,0.0006778548
8,1.0
9,1.0
10,0.9958514
11,1.0
12,0.00016098177
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,0.98169243
19,1.0
20,1.0
21,1.0
22,0.010267303
23,1.0
24,1.0
25,0.99992937
26,9.524671e-11
27,1.0
28,0.99999386
29,1.0
30,0.8206537
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,0.9968191
40,1.0
41,0.99999976
42,1.0
43,1.0
44,1.0
45,2.591573e-05
46,1.0
47,1.0
48,0.0020095387
49,1.0
50,1.0
51,1.0
52,0.9881703
53,1.0
54,0.010339374
55,0.9696739
56,1.0
57,0.011365421
58,1.0
59,1.0
60,0.9999821
61,1.0
62,1.0
63,1.0
64,0.008657453
65,1.0
66,1.0
67,0.91764545
68,0.00026064328
69,1.0
70,1.0
71,0.99997157
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,0.00052551023
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,0.99710613
89,1.0
90,1.0
91,1.0
92,0.7477391
93,1.0
94,0.09615291
95,1.0
96,2.3728728e-07
97,1.0
98,1.0
99,0.9999964
100,1.0
101,0.9616843
102,1.0
103,1.0
104,1.0
105,1.0
106,1.0
107,0.999359
108,1.0
109,0.98538905
110,1.0
111,1.0
112,1.0
113,1.0
114,1.0
115,1.0
116,1.0
117,1.0
118,1.0
119,1.0
120,0.00046214496
121,1.0
122,1.0
123,1.0
124,0.9999982
125,1.0
126,1.0
127,1.0
128,1.0
129,1.0
130,1.0
131,1.0
132,0.9999981
133,1.0
134,1.0
135,1.0
136,1.0
137,1.0
138,0.99999714
139,0.9999999
140,0.9999178
141,1.0
142,1.0
143,1.0
144,1.0
145,0.99999845
146,0.7909112
147,0.99516106
148,0.49537992
149,0.0050002583
150,0.99999946
151,0.4042728
152,1.0
153,0.88564146
154,1.0
155,0.60285646
156,1.0
157,1.0
158,0.85108745
159,1.0
160,0.9999989
161,1.0
162,1.0
163,0.99999976
164,1.0
165,7.063558e-14
166,1.0
167,1.0
168,1.0
169,1.0
170,0.99999696
171,0.67984545
172,0.9999718
173,1.0
174,0.99693644
175,1.0
176,1.0
177,1.0
178,1.0
179,0.010177672
180,0.6060719
181,0.0013582446
182,1.0
183,0.98757863
184,1.0
185,1.0
186,1.0
187,1.0
188,1.0
189,1.0
190,1.0
191,1.0
192,1.0
193,1.0
194,0.40828055
195,1.0
196,0.23247725
197,1.0
198,0.029589586
199,1.0
200,1.0
201,1.0
202,1.0
203,1.0
204,1.0
205,1.0
206,1.0
207,0.99999976
208,1.0
209,1.0
210,1.0
211,1.0
212,1.0
213,1.0
214,1.0
215,1.0
216,1.0
217,1.0
218,1.0
219,1.0
220,1.0
221,1.0
222,1.0
223,1.0
224,1.0
225,1.0
226,1.0
227,0.15196905
228,1.0
229,0.9999999
230,1.0
231,1.0
232,1.0
233,1.0
234,1.0
235,1.0
236,1.0
237,1.0
238,0.01207486
239,0.99999934
240,1.0
241,1.0
242,1.0
243,0.9999951
244,1.0
245,0.9651881
246,1.0
247,1.0
248,1.0
249,1.0
250,0.99999946
251,0.99417835
252,0.9876187
253,1.0
254,1.0
255,1.0
256,1.0
257,1.0
258,1.0
259,1.0
260,1.0
261,1.0
262,1.0
263,1.0
264,1.0
265,0.9997927
266,1.0
267,1.0
268,1.0
269,1.0
270,0.9855409
271,0.7581448
272,1.0
273,0.9942987
274,1.0
275,1.0
276,1.0
277,1.0
278,1.0
279,1.0
280,1.0
281,0.9970521
282,1.0
283,1.0
284,1.0
285,0.9999999
286,1.0
287,1.0
288,0.99999565
289,1.0
290,0.9931656
291,1.0
292,1.0
293,1.0
294,1.0
295,1.0
296,1.0
297,1.0
298,1.0
299,1.0
300,1.0
301,1.0
302,0.9995388
303,1.0
304,1.0
305,5.477376e-05
306,0.99601954
307,1.0
308,1.0
309,1.0
310,1.0
311,0.9938481
312,1.0
313,0.8910182
314,0.99996626
315,1.0
316,0.0046925074
317,0.9999985
318,8.626513e-05
319,1.0
320,1.0
321,0.0030845937
322,1.0
323,4.5431694e-05
324,1.0
325,0.999721
326,1.0
327,1.0
328,1.0
329,0.22716065
330,1.0
331,1.0
332,1.0
333,1.0
334,1.0
335,1.0
336,1.0
337,1.0
338,1.0
339,1.0
340,1.0
341,1.0
342,1.0
343,0.9999846
344,1.0
345,1.0
346,0.99999976
347,0.99998087
348,0.98310876
349,1.0
350,1.0
351,1.0
352,1.0
353,1.0
354,1.0
355,1.0
356,1.0
357,0.030850805
358,1.0
359,1.0
360,1.0
361,1.0
362,1.0
363,1.0
364,0.0010124322
365,1.0
366,1.1877928e-06
367,0.9991765
368,0.98987937
369,1.0
370,0.9999993
371,1.0
372,1.0
373,0.99999994
374,1.0
375,1.0
376,0.9999701
377,1.0
378,1.0
379,1.0
380,1.0
381,1.0
382,1.0
383,1.0
384,1.0
385,1.0
386,0.99999994
387,1.0
388,0.9853159
389,1.0
390,1.0
391,0.15679218
392,1.0
393,1.0
394,0.99824077
395,1.0
396,0.00068121724
397,0.9700152
398,2.0758944e-06
399,1.0
