Label,event_time,label
TRUE,192,1
FALSE,287,0
TRUE,179,1
TRUE,189,1
FALSE,269,0
TRUE,188,1
FALSE,259,0
TRUE,150,1
FALSE,201,0
FALSE,222,0
FALSE,240,0
TRUE,170,1
TRUE,163,1
TRUE,180,1
FALSE,207,0
FALSE,209,0
FALSE,276,0
TRUE,195,1
TRUE,158,1
FALSE,234,0
TRUE,195,1
FALSE,202,0
TRUE,168,1
TRUE,147,1
FALSE,230,0
TRUE,199,1
TRUE,156,1
TRUE,165,1
TRUE,163,1
TRUE,194,1
FALSE,234,0
TRUE,191,1
TRUE,200,1
TRUE,195,1
TRUE,181,1
TRUE,158,1
TRUE,170,1
TRUE,194,1
TRUE,128,1
TRUE,188,1
FALSE,216,0
TRUE,196,1
FALSE,207,0
TRUE,192,1
TRUE,158,1
FALSE,256,0
FALSE,214,0
FALSE,231,0
FALSE,215,0
TRUE,198,1
FALSE,213,0
FALSE,213,0
TRUE,195,1
FALSE,257,0
TRUE,193,1
FALSE,275,0
TRUE,137,1
TRUE,147,1
FALSE,231,0
TRUE,172,1
TRUE,185,1
TRUE,180,1
TRUE,174,1
FALSE,283,0
TRUE,153,1
FALSE,202,0
FALSE,313,0
TRUE,199,1
FALSE,362,0
TRUE,137,1
FALSE,208,0
FALSE,213,0
FALSE,213,0
TRUE,166,1
FALSE,229,0
FALSE,210,0
TRUE,154,1
FALSE,231,0
TRUE,199,1
TRUE,185,1
FALSE,240,0
FALSE,214,0
FALSE,293,0
FALSE,267,0
TRUE,188,1
FALSE,278,0
TRUE,178,1
FALSE,213,0
FALSE,217,0
TRUE,154,1
TRUE,135,1
FALSE,341,0
TRUE,155,1
FALSE,258,0
FALSE,283,0
FALSE,336,0
FALSE,202,0
TRUE,156,1
TRUE,185,1
TRUE,200,1
TRUE,149,1
FALSE,269,0
FALSE,206,0
FALSE,235,0
TRUE,154,1
TRUE,175,1
TRUE,174,1
TRUE,151,1
TRUE,199,1
TRUE,184,1
FALSE,271,0
FALSE,249,0
FALSE,227,0
TRUE,193,1
FALSE,209,0
TRUE,154,1
TRUE,180,1
FALSE,209,0
TRUE,163,1
TRUE,154,1
TRUE,189,1
TRUE,192,1
FALSE,211,0
TRUE,191,1
FALSE,205,0
TRUE,187,1
TRUE,176,1
TRUE,200,1
TRUE,151,1
TRUE,166,1
FALSE,343,0
FALSE,281,0
TRUE,195,1
FALSE,205,0
TRUE,196,1
FALSE,203,0
FALSE,210,0
TRUE,177,1
FALSE,214,0
TRUE,193,1
FALSE,262,0
FALSE,221,0
FALSE,211,0
FALSE,205,0
TRUE,151,1
FALSE,201,0
FALSE,246,0
FALSE,239,0
TRUE,168,1
FALSE,222,0
FALSE,293,0
TRUE,174,1
TRUE,148,1
TRUE,199,1
TRUE,159,1
TRUE,163,1
TRUE,140,1
TRUE,162,1
TRUE,194,1
TRUE,177,1
FALSE,218,0
TRUE,184,1
TRUE,168,1
FALSE,282,0
FALSE,206,0
TRUE,170,1
TRUE,145,1
TRUE,185,1
TRUE,136,1
TRUE,156,1
TRUE,194,1
TRUE,196,1
FALSE,239,0
TRUE,158,1
FALSE,231,0
FALSE,244,0
TRUE,185,1
TRUE,161,1
TRUE,181,1
FALSE,221,0
FALSE,288,0
TRUE,200,1
TRUE,170,1
FALSE,259,0
FALSE,347,0
TRUE,190,1
TRUE,170,1
FALSE,365,0
TRUE,188,1
TRUE,188,1
FALSE,245,0
TRUE,188,1
TRUE,189,1
FALSE,306,0
TRUE,198,1
FALSE,208,0
TRUE,145,1
TRUE,167,1
FALSE,202,0
FALSE,212,0
FALSE,211,0
TRUE,164,1
FALSE,280,0
FALSE,228,0
FALSE,303,0
FALSE,272,0
TRUE,145,1
TRUE,156,1
FALSE,220,0
FALSE,221,0
TRUE,200,1
FALSE,378,0
FALSE,232,0
FALSE,203,0
FALSE,206,0
FALSE,207,0
TRUE,177,1
FALSE,344,0
TRUE,174,1
TRUE,129,1
FALSE,210,0
TRUE,185,1
FALSE,226,0
FALSE,267,0
TRUE,168,1
TRUE,199,1
FALSE,256,0
FALSE,303,0
FALSE,202,0
TRUE,182,1
FALSE,280,0
TRUE,183,1
TRUE,159,1
FALSE,247,0
FALSE,294,0
TRUE,160,1
TRUE,148,1
TRUE,200,1
TRUE,194,1
FALSE,214,0
TRUE,163,1
FALSE,208,0
TRUE,166,1
FALSE,224,0
FALSE,251,0
FALSE,263,0
FALSE,207,0
FALSE,279,0
FALSE,289,0
FALSE,222,0
TRUE,177,1
TRUE,184,1
FALSE,292,0
TRUE,193,1
FALSE,226,0
FALSE,299,0
FALSE,237,0
FALSE,308,0
FALSE,241,0
FALSE,212,0
FALSE,224,0
TRUE,194,1
FALSE,203,0
FALSE,249,0
TRUE,165,1
FALSE,204,0
FALSE,232,0
FALSE,217,0
TRUE,185,1
TRUE,179,1
FALSE,258,0
TRUE,174,1
TRUE,151,1
TRUE,193,1
FALSE,202,0
TRUE,164,1
TRUE,181,1
TRUE,148,1
TRUE,181,1
FALSE,297,0
FALSE,255,0
TRUE,200,1
FALSE,207,0
TRUE,171,1
TRUE,162,1
TRUE,194,1
TRUE,168,1
TRUE,148,1
FALSE,209,0
FALSE,257,0
FALSE,219,0
TRUE,133,1
TRUE,172,1
TRUE,148,1
TRUE,190,1
FALSE,239,0
TRUE,154,1
FALSE,205,0
FALSE,219,0
FALSE,227,0
TRUE,191,1
TRUE,197,1
FALSE,269,0
FALSE,237,0
TRUE,198,1
FALSE,221,0
TRUE,184,1
TRUE,150,1
FALSE,201,0
TRUE,184,1
FALSE,214,0
TRUE,149,1
TRUE,196,1
TRUE,146,1
FALSE,226,0
FALSE,229,0
TRUE,162,1
FALSE,237,0
TRUE,156,1
FALSE,234,0
TRUE,178,1
TRUE,195,1
FALSE,218,0
TRUE,174,1
TRUE,156,1
TRUE,178,1
TRUE,184,1
FALSE,262,0
TRUE,176,1
TRUE,186,1
TRUE,144,1
FALSE,242,0
TRUE,190,1
TRUE,159,1
TRUE,183,1
FALSE,239,0
FALSE,209,0
TRUE,156,1
FALSE,263,0
FALSE,266,0
TRUE,183,1
FALSE,273,0
FALSE,230,0
TRUE,128,1
