machine_name,operational_setting_1,operational_setting_2,sensor_measurement_04,sensor_measurement_06,sensor_measurement_08,sensor_measurement_11,sensor_measurement_13,sensor_measurement_14,operational_setting_3,sensor_measurement_16,status,cycle
1,0.0043,-0.0001,1434.33,21.61,2388.25,48.34,2388.23,8149.15,100.0,0.03,False,259
2,-0.0023,0.0004,1419.99,21.58,2388.53,48.08,2388.51,8190.81,100.0,0.03,False,253
3,-0.0015,-0.0002,1424.21,21.61,2388.2,47.95,2388.17,8163.26,100.0,0.03,False,222
4,0.001,0.0004,1426.14,21.61,2388.32,48.2,2388.34,8116.35,100.0,0.03,False,272
5,-0.0017,-0.0005,1437.97,21.61,2388.18,48.32,2388.21,8178.97,100.0,0.03,False,213
6,-0.0002,-0.0005,1429.1,21.61,2388.26,48.19,2388.27,8152.09,100.0,0.03,False,278
7,-0.0014,-0.0001,1428.6,21.57,2388.46,48.31,2388.53,8193.34,100.0,0.03,False,424
8,-0.0023,0.0001,1426.91,21.61,2388.28,48.22,2388.23,8148.89,100.0,0.03,False,267
9,0.001,-0.0002,1429.76,21.6,2388.52,48.2,2388.51,8193.86,100.0,0.03,False,406
10,0.0022,0.0004,1423.66,21.45,2388.39,48.3,2388.37,8187.71,100.0,0.03,False,481
11,0.0019,-0.0001,1429.92,21.57,2388.56,48.2,2388.55,8192.05,100.0,0.03,True,197
12,-0.0001,-0.0002,1432.52,21.61,2388.29,48.12,2388.22,8138.23,100.0,0.03,True,170
13,0.0015,-0.0,1429.21,21.61,2388.23,48.27,2388.2,8224.28,100.0,0.03,True,185
14,0.0003,-0.0,1431.9,21.61,2388.29,48.21,2388.29,8117.88,100.0,0.03,False,207
15,-0.0038,0.0004,1426.67,21.61,2388.23,48.25,2388.27,8149.91,100.0,0.03,False,202
16,-0.0017,0.0003,1424.27,21.61,2388.59,48.31,2388.5,8192.94,100.0,0.03,False,344
17,0.0028,-0.0002,1431.28,21.58,2388.57,48.31,2388.53,8199.44,100.0,0.03,False,312
18,-0.0001,0.0004,1425.05,21.56,2388.51,48.27,2388.48,8197.58,100.0,0.03,False,447
19,0.0006,0.0004,1426.21,21.61,2388.58,48.33,2388.59,8192.35,100.0,0.03,False,229
20,0.0002,0.0003,1430.2,21.58,2388.59,48.44,2388.51,8194.58,100.0,0.03,False,338
21,0.0003,0.0001,1433.83,21.58,2388.56,48.14,2388.52,8193.06,100.0,0.03,False,220
22,0.0015,-0.0003,1435.85,21.61,2388.23,48.05,2388.25,8149.5,100.0,0.03,True,192
23,-0.0009,-0.0005,1429.25,21.61,2388.32,48.19,2388.3,8120.13,100.0,0.03,True,196
24,-0.0016,-0.0004,1432.77,21.56,2388.49,48.1,2388.51,8196.59,100.0,0.03,False,494
25,0.0015,-0.0002,1431.83,21.61,2388.16,48.06,2388.18,8238.47,100.0,0.03,True,193
26,-0.0008,0.0005,1429.32,21.61,2388.2,48.11,2388.21,8154.58,100.0,0.03,False,243
27,0.0012,-0.0003,1428.9,21.57,2388.56,48.05,2388.55,8192.99,100.0,0.03,False,320
28,-0.0043,-0.0001,1425.89,21.61,2388.23,48.17,2388.24,8134.3,100.0,0.03,True,200
29,-0.0022,0.0,1428.02,21.61,2388.24,48.08,2388.23,8146.5,100.0,0.03,False,223
30,-0.0009,-0.0005,1437.5,21.61,2388.45,48.1,2388.42,8278.39,100.0,0.03,False,218
31,-0.001,-0.0004,1427.2,21.61,2388.27,48.28,2388.3,8142.41,100.0,0.03,True,183
32,-0.0024,-0.0002,1426.8,21.61,2388.17,48.43,2388.17,8258.74,100.0,0.03,True,189
33,0.0003,0.0001,1433.24,21.61,2388.54,47.95,2388.6,8190.59,100.0,0.03,False,231
34,0.0021,0.0002,1424.64,21.57,2388.47,48.27,2388.53,8195.35,100.0,0.03,False,459
35,-0.001,0.0001,1438.32,21.61,2388.21,48.14,2388.24,8163.51,100.0,0.03,False,231
36,-0.0007,0.0005,1429.99,21.61,2388.36,48.29,2388.3,8122.56,100.0,0.03,False,324
37,0.0016,-0.0005,1427.83,21.57,2388.59,48.11,2388.47,8193.32,100.0,0.03,False,324
38,-0.0003,0.0004,1428.98,21.61,2388.56,48.07,2388.52,8194.39,100.0,0.03,False,201
39,-0.003,0.0003,1419.64,21.61,2388.52,48.17,2388.61,8194.87,100.0,0.03,False,288
40,0.0008,-0.0005,1435.27,21.61,2388.36,48.26,2388.33,8122.26,100.0,0.03,True,188
41,0.0023,0.0001,1423.75,21.59,2388.51,48.26,2388.54,8196.07,100.0,0.03,False,295
42,-0.0015,-0.0001,1423.91,21.58,2388.51,48.17,2388.51,8188.3,100.0,0.03,True,193
43,0.0037,0.0002,1421.74,21.61,2388.53,48.14,2388.57,8188.85,100.0,0.03,False,321
44,-0.0026,-0.0002,1427.31,21.61,2388.35,48.18,2388.34,8116.38,100.0,0.03,True,180
45,0.004,0.0,1436.23,21.59,2388.55,48.2,2388.53,8193.7,100.0,0.03,False,205
