machine_name,operational_setting_1,operational_setting_2,sensor_measurement_01,sensor_measurement_02,sensor_measurement_03,sensor_measurement_04,sensor_measurement_05,sensor_measurement_06,sensor_measurement_07,sensor_measurement_08,sensor_measurement_09,sensor_measurement_10,sensor_measurement_11,sensor_measurement_13,sensor_measurement_14,sensor_measurement_15,sensor_measurement_17,sensor_measurement_18,sensor_measurement_19,sensor_measurement_20,sensor_measurement_21,operational_setting_3,sensor_measurement_16,status,cycle,label
1,0.0009,0,518.67,643.54,1601.41,1427.2,14.62,21.61,551.25,2388.32,9033.22,1.3,48.25,2388.32,8110.93,8.5113,396,2388,100,38.48,22.9649,100,0.03,TRUE,192,1
2,-0.0005,0.0006,518.67,643.85,1608.5,1430.84,14.62,21.61,551.66,2388.2,9109.36,1.3,48.12,2388.21,8175.57,8.5365,398,2388,100,38.43,23.0848,100,0.03,FALSE,287,0
3,0.0012,0,518.67,643.51,1604.8,1428.23,14.62,21.61,551.91,2388.14,9197.52,1.3,48.09,2388.2,8255.34,8.5056,398,2388,100,38.4,22.9562,100,0.03,TRUE,179,1
4,-0.0024,-0.0002,518.67,644.53,1612.11,1432.55,14.62,21.61,551.93,2388.13,9198.32,1.3,48.15,2388.16,8259.42,8.5246,398,2388,100,38.44,23.1006,100,0.03,TRUE,189,1
5,0.0022,0.0003,518.67,643.46,1597.28,1430.74,14.62,21.61,550.77,2388.18,9157.05,1.3,48.26,2388.16,8212.75,8.5209,397,2388,100,38.45,23.0296,100,0.03,FALSE,269,0
6,0.0014,-0.0004,518.67,643.47,1600.63,1434.92,14.62,21.61,550.7,2388.34,9027.96,1.3,48.21,2388.34,8102.82,8.5358,397,2388,100,38.42,22.9577,100,0.03,TRUE,188,1
7,0.0043,-0.0001,518.67,644.15,1599.33,1435.04,14.62,21.61,551.97,2388.19,9075.94,1.3,47.97,2388.24,8145.75,8.5162,396,2388,100,38.46,23.0596,100,0.03,FALSE,259,0
8,0.0026,-0.0003,518.67,643.87,1602.84,1432.31,14.62,21.61,551.08,2388.27,9046.16,1.3,48.24,2388.26,8121.27,8.5509,394,2388,100,38.24,23.051,100,0.03,TRUE,150,1
9,-0.0016,0.0004,518.67,644.04,1595.36,1428.43,14.62,21.61,552.3,2388.5,9239.76,1.3,48.11,2388.56,8289.63,8.5156,399,2388,100,38.45,23.0284,100,0.03,FALSE,201,0
10,0.0002,-0.0003,518.67,643.66,1599.18,1436.29,14.62,21.61,552.7,2388.22,9115.44,1.3,48.09,2388.16,8183.55,8.5159,398,2388,100,38.51,23.1434,100,0.03,FALSE,222,0
11,0.0002,0.0001,518.67,643.52,1598.71,1432.38,14.62,21.61,552.03,2388.19,9155.67,1.3,48.19,2388.16,8218.2,8.5135,397,2388,100,38.28,23.0558,100,0.03,FALSE,240,0
12,0.0002,-0.0001,518.67,643.31,1601.76,1434.94,14.62,21.61,551.1,2388.32,9050.4,1.3,48.08,2388.29,8122.87,8.5213,395,2388,100,38.64,23.0102,100,0.03,TRUE,170,1
13,-0.0002,-0.0004,518.67,644.26,1610.89,1430.32,14.62,21.61,550.99,2388.15,9153.32,1.3,48.22,2388.16,8211.76,8.5477,397,2388,100,38.53,23.1291,100,0.03,TRUE,163,1
14,0.0011,-0.0002,518.67,643.49,1597.94,1427.6,14.62,21.61,551.29,2388.18,9129.74,1.3,48.32,2388.23,8196.18,8.5237,397,2388,100,38.36,22.9824,100,0.03,TRUE,180,1
15,-0.0002,0.0001,518.67,643.65,1599.27,1433.72,14.62,21.61,551.59,2388.33,9039.93,1.3,48.3,2388.31,8122.39,8.5381,396,2388,100,38.43,23.0375,100,0.03,FALSE,207,0
16,0.0012,-0.0002,518.67,643.61,1601.47,1429.68,14.62,21.61,551.17,2388.25,9060.94,1.3,48.28,2388.26,8132.25,8.5258,397,2388,100,38.35,23.1505,100,0.03,FALSE,209,0
17,-0.0006,-0.0004,518.67,643.97,1599.82,1432.46,14.62,21.61,551.51,2388.14,9172.75,1.3,48.06,2388.12,8238.26,8.5171,397,2388,100,38.5,23.0517,100,0.03,FALSE,276,0
18,-0.0029,-0.0001,518.67,643.93,1601,1428.08,14.62,21.61,551.43,2388.44,9224.53,1.3,48.01,2388.39,8282.5,8.5132,398,2388,100,38.5,23.0304,100,0.03,TRUE,195,1
19,-0.0009,0.0004,518.67,643.34,1605.58,1433.97,14.62,21.61,550.84,2388.3,9051.89,1.3,48.23,2388.33,8117.14,8.5343,396,2388,100,38.28,22.9405,100,0.03,TRUE,158,1
20,0.0011,-0.0004,518.67,643.86,1598.43,1430.93,14.62,21.61,551.74,2388.3,9070.66,1.3,48.15,2388.25,8143.3,8.5433,397,2388,100,38.57,22.9964,100,0.03,FALSE,234,0
