hr,operational_setting_1,operational_setting_2,sensor_measurement_01,sensor_measurement_02,sensor_measurement_03,sensor_measurement_04,sensor_measurement_05,sensor_measurement_06,sensor_measurement_07,sensor_measurement_08,sensor_measurement_09,sensor_measurement_10,sensor_measurement_11,sensor_measurement_13,sensor_measurement_14,sensor_measurement_15,sensor_measurement_17,sensor_measurement_18,sensor_measurement_19,sensor_measurement_20,sensor_measurement_21,operational_setting_3,sensor_measurement_16,t,e
1,0.000159472,0.000593472,1,0.98552862,0.966858254,0.962643453,1,1,0.954912176,0.999324709,0.831780089,0.948717949,0.975503062,0.994294063,0.587157828,0.116021907,0.967391304,1,1,0.952397029,0.94483438,1,1,192,1
2,0.000126149,0.001305638,1,0.988386026,0.987132195,0.972159046,1,1,0.955857268,0.999071475,0.892376503,0.948717949,0.964129484,0.993990848,0.733151143,0.124812502,0.989130435,1,1,0.95070898,0.951545376,1,1,287,0
3,0.000166612,0.000593472,1,0.985252097,0.976552,0.965336052,1,1,0.956433544,0.998944858,0.962539096,0.948717949,0.961504812,0.993963284,0.913316469,0.114033558,0.989130435,1,1,0.949696151,0.944347427,1,1,179,1
4,8.09E-05,0.000356083,1,0.994653885,0.997455034,0.976629284,1,1,0.956479646,0.998923755,0.963175781,0.948717949,0.966754156,0.993853024,0.922531394,0.120661388,0.989130435,1,1,0.95104659,0.952429728,1,1,189,1
5,0.000190414,0.000949555,1,0.984791225,0.955048469,0.971897629,1,1,0.953805726,0.99902927,0.930330837,0.948717949,0.976377953,0.993853024,0.817124401,0.119370705,0.97826087,1,1,0.9513842,0.948455743,1,1,269,0
6,0.000171373,0.000118694,1,0.984883399,0.964627834,0.982824876,1,1,0.953644369,0.999366915,0.827593891,0.948717949,0.9720035,0.994349192,0.568840907,0.124568319,0.97826087,1,1,0.950371371,0.944431384,1,1,188,1
7,0.000240398,0.000474777,1,0.991151258,0.960910469,0.983138577,1,1,0.95657185,0.999050372,0.865779023,0.948717949,0.951006124,0.994073543,0.665800885,0.117731189,0.967391304,1,1,0.95172181,0.950134892,1,1,259,0
8,0.000199935,0.000237389,1,0.988570375,0.970947356,0.976001882,1,1,0.954520308,0.999219195,0.842078455,0.948717949,0.974628171,0.994128673,0.610511338,0.1298357,0.945652174,1,1,0.944294396,0.949653536,1,1,150,1
9,1.00E-04,0.001068249,1,0.99013734,0.949558205,0.965858887,1,1,0.957332534,0.99970456,0.996156019,0.948717949,0.963254593,0.99495562,0.99076249,0.117521889,1,1,1,0.9513842,0.948388577,1,1,201,0
10,0.000142811,0.000237389,1,0.986634713,0.960481542,0.986406295,1,1,0.958254576,0.999113681,0.897215303,0.948717949,0.961504812,0.993853024,0.751174451,0.117626539,0.989130435,1,1,0.953409858,0.954825313,1,1,222,0
