machine_name,operational_setting_1,operational_setting_2,sensor_measurement_04,sensor_measurement_06,sensor_measurement_08,sensor_measurement_11,sensor_measurement_13,sensor_measurement_14,operational_setting_3,sensor_measurement_16
1,0.0009,0,1427.2,21.61,2388.32,48.25,2388.32,8110.93,100,0.03
2,-0.0005,0.0006,1430.84,21.61,2388.2,48.12,2388.21,8175.57,100,0.03
3,0.0012,0,1428.23,21.61,2388.14,48.09,2388.2,8255.34,100,0.03
4,-0.0024,-0.0002,1432.55,21.61,2388.13,48.15,2388.16,8259.42,100,0.03
5,0.0022,0.0003,1430.74,21.61,2388.18,48.26,2388.16,8212.75,100,0.03
6,0.0014,-0.0004,1434.92,21.61,2388.34,48.21,2388.34,8102.82,100,0.03
7,0.0043,-0.0001,1435.04,21.61,2388.19,47.97,2388.24,8145.75,100,0.03
8,0.0026,-0.0003,1432.31,21.61,2388.27,48.24,2388.26,8121.27,100,0.03
9,-0.0016,0.0004,1428.43,21.61,2388.5,48.11,2388.56,8289.63,100,0.03
10,0.0002,-0.0003,1436.29,21.61,2388.22,48.09,2388.16,8183.55,100,0.03
11,0.0002,0.0001,1432.38,21.61,2388.19,48.19,2388.16,8218.2,100,0.03
12,0.0002,-0.0001,1434.94,21.61,2388.32,48.08,2388.29,8122.87,100,0.03
13,-0.0002,-0.0004,1430.32,21.61,2388.15,48.22,2388.16,8211.76,100,0.03
14,0.0011,-0.0002,1427.6,21.61,2388.18,48.32,2388.23,8196.18,100,0.03
15,-0.0002,0.0001,1433.72,21.61,2388.33,48.3,2388.31,8122.39,100,0.03
16,0.0012,-0.0002,1429.68,21.61,2388.25,48.28,2388.26,8132.25,100,0.03
17,-0.0006,-0.0004,1432.46,21.61,2388.14,48.06,2388.12,8238.26,100,0.03
18,-0.0029,-0.0001,1428.08,21.61,2388.44,48.01,2388.39,8282.5,100,0.03
19,-0.0009,0.0004,1433.97,21.61,2388.3,48.23,2388.33,8117.14,100,0.03
20,0.0011,-0.0004,1430.93,21.61,2388.3,48.15,2388.25,8143.3,100,0.03
21,0.0022,0,1432.84,21.61,2388.18,48.04,2388.19,8224.87,100,0.03
22,0.0017,-0.0001,1429.98,21.61,2388.3,48.16,2388.3,8130.05,100,0.03
23,-0.0007,0.0002,1431.69,21.61,2388.26,48.19,2388.36,8127.93,100,0.03
24,-0.0006,0.0004,1430.87,21.61,2388.3,48.19,2388.28,8119.58,100,0.03
25,-0.0046,0.0001,1432.58,21.61,2388.14,48.12,2388.19,8209.41,100,0.03
26,-0.0005,0.0003,1432.5,21.61,2388.19,48.05,2388.2,8222.42,100,0.03
27,0.0003,0.0004,1429.06,21.61,2388.17,48.26,2388.15,8210.07,100,0.03
28,-0.0036,-0.0004,1431.57,21.61,2388.19,48.04,2388.2,8166.05,100,0.03
29,-0.0018,-0.0003,1436.41,21.61,2388.23,48.17,2388.26,8121.38,100,0.03
30,0.0003,0.0005,1441.49,21.61,2388.32,48.17,2388.3,8118.21,100,0.03
31,0.0023,-0.0001,1425.76,21.61,2388.34,48.32,2388.35,8116.96,100,0.03
32,0.0013,-0.0003,1435.15,21.61,2388.18,48.53,2388.21,8156.17,100,0.03
33,-0.0013,-0.0003,1433.49,21.61,2388.23,48.28,2388.31,8127.7,100,0.03
34,0.004,0.0006,1434.09,21.61,2388.17,48.33,2388.14,8230.84,100,0.03
35,0.0003,0.0002,1431.5,21.61,2388.24,48.08,2388.25,8166.97,100,0.03
36,-0.0005,-0.0001,1432.33,21.61,2388.28,48.26,2388.31,8124.67,100,0.03
37,0.0024,-0.0005,1425.87,21.61,2388.29,48.4,2388.27,8116.79,100,0.03
38,-0.0017,0.0004,1426.16,21.61,2388.26,48.52,2388.16,8217.94,100,0.03
39,-0.0029,0.0002,1428.14,21.61,2388.3,48.27,2388.31,8106.63,100,0.03
40,0.0002,-0.0003,1432.96,21.61,2388.23,48.03,2388.25,8202.76,100,0.03
41,-0.0024,-0.0001,1428.74,21.61,2388.16,48.34,2388.17,8214.55,100,0.03
42,-0.0019,0.0003,1427.68,21.61,2388.29,47.97,2388.26,8133.97,100,0.03
43,0.0003,0,1427.53,21.61,2388.37,48.03,2388.3,8113.24,100,0.03
44,0.0015,-0.0003,1438.96,21.61,2388.17,48.05,2388.23,8155.1,100,0.03
45,0.0012,-0.0001,1437.88,21.61,2388.23,48.29,2388.23,8160.09,100,0.03
46,0.0023,0.0002,1433.99,21.61,2388.25,48.22,2388.32,8118.01,100,0.03
47,0.0032,-0.0001,1433.3,21.61,2388.21,48.28,2388.22,8176.36,100,0.03
48,-0.0025,-0.0005,1435.19,21.61,2388.52,47.98,2388.55,8290.25,100,0.03
49,0.0026,-0.0005,1433.24,21.61,2388.26,48.26,2388.3,8138.39,100,0.03
50,0.0039,0.0001,1433.88,21.61,2388.2,48.01,2388.25,8200.2,100,0.03
51,0.0014,0.0004,1428.55,21.61,2388.56,47.89,2388.54,8293.72,100,0.03
52,-0.0017,-0.0005,1436.34,21.61,2388.18,48.18,2388.21,8181.73,100,0.03
53,-0.0001,-0.0004,1423.19,21.61,2388.14,48.18,2388.17,8230.96,100,0.03
54,-0.0009,-0.0003,1433.26,21.61,2388.16,48.15,2388.15,8220.23,100,0.03
55,0.0033,0,1433.56,21.61,2388.14,48.19,2388.16,8257.58,100,0.03
56,-0.0058,0.0001,1427.24,21.61,2388.16,48.16,2388.19,8217.25,100,0.03
57,-0.0004,-0.0003,1432.49,21.61,2388.32,48.26,2388.28,8108.28,100,0.03
58,-0.0028,0.0002,1438.22,21.61,2388.28,48.33,2388.33,8119.76,100,0.03
59,0.002,-0.0004,1425.87,21.61,2388.28,48.14,2388.24,8141.32,100,0.03
60,-0.0005,0.0004,1434.09,21.61,2388.18,48.04,2388.22,8205.47,100,0.03
61,-0.0049,0,1426,21.61,2388.26,48.23,2388.27,8109.39,100,0.03
62,-0.0026,-0.0002,1427.51,21.61,2388.28,48.16,2388.31,8123.28,100,0.03
63,-0.0007,-0.0003,1424.72,21.61,2388.16,48.21,2388.16,8239.45,100,0.03
64,0.002,-0.0001,1425.77,21.61,2388.17,48.15,2388.22,8181.59,100,0.03
65,0.0021,-0.0001,1432.83,21.61,2388.28,48.08,2388.34,8109.49,100,0.03
66,-0.0038,0.0004,1429.38,21.61,2388.23,48.19,2388.25,8147.9,100,0.03
67,0.0009,-0.0003,1424.96,21.61,2388.29,48.28,2388.21,8146.04,100,0.03
68,-0.0037,-0.0004,1430.17,21.61,2388.2,48.16,2388.14,8226.34,100,0.03
69,0.0007,0,1428.28,21.61,2388.31,48.02,2388.33,8124.27,100,0.03
70,0.0014,0,1434.81,21.61,2388.17,48.16,2388.25,8173.73,100,0.03
71,0.0012,0.0002,1437.81,21.61,2388.18,48.02,2388.19,8225.07,100,0.03
72,0.0007,-0.0003,1427.84,21.61,2388.32,48.17,2388.36,8103.27,100,0.03
73,-0.0014,0.0002,1428.84,21.61,2388.28,48.12,2388.35,8114.48,100,0.03
74,0.0011,0.0003,1431.14,21.61,2388.3,48.07,2388.25,8123.87,100,0.03
75,0.0003,0.0001,1433.1,21.61,2388.31,48.22,2388.3,8104.78,100,0.03
76,-0.003,0.0003,1432.07,21.61,2388.27,48.24,2388.28,8131.33,100,0.03
77,0.0009,-0.0004,1423.58,21.61,2388.27,48.08,2388.24,8148.51,100,0.03
78,-0.001,0.0001,1428.33,21.61,2388.24,48.22,2388.21,8160.8,100,0.03
79,-0.0023,-0.0004,1436.93,21.61,2388.26,48.2,2388.21,8165.3,100,0.03
80,0.0015,0,1421.41,21.61,2388.22,48.05,2388.18,8229.73,100,0.03
81,-0.0026,-0.0003,1423.61,21.61,2388.28,48.12,2388.22,8129.61,100,0.03
82,-0.0013,0.0003,1427.73,21.61,2388.16,48.3,2388.16,8267.9,100,0.03
83,-0.0002,-0.0005,1430.64,21.61,2388.25,48.21,2388.31,8115.28,100,0.03
84,-0.0023,0.0001,1430.13,21.61,2388.25,48.17,2388.23,8149.66,100,0.03
85,-0.0014,0,1434.88,21.61,2388.28,48.17,2388.3,8124.14,100,0.03
86,-0.0002,-0.0005,1425.47,21.61,2388.23,48.16,2388.22,8151.89,100,0.03
87,0.001,0.0001,1433.25,21.61,2388.32,48.11,2388.31,8121.08,100,0.03
88,-0.0019,0.0003,1431.92,21.61,2388.13,48.4,2388.19,8212.51,100,0.03
89,0.006,-0.0002,1431.32,21.61,2388.17,48.39,2388.22,8154.8,100,0.03
90,-0.001,-0.0002,1434.02,21.61,2388.32,48.4,2388.34,8110.86,100,0.03
91,0.0016,-0.0001,1432.29,21.61,2388.27,48.31,2388.26,8115.44,100,0.03
92,0,-0.0004,1428.06,21.61,2388.23,48.01,2388.15,8201.66,100,0.03
93,0.0047,0.0003,1428.64,21.61,2388.21,48.2,2388.26,8137,100,0.03
94,0.003,0.0004,1425.25,21.61,2388.15,48.26,2388.19,8217.94,100,0.03
95,0.0019,0.0003,1430.97,21.61,2388.21,48.16,2388.2,8183.58,100,0.03
96,-0.0031,-0.0005,1432.12,21.61,2388.28,48.17,2388.24,8144.03,100,0.03
97,0.0014,0.0001,1427.41,21.61,2388.15,47.94,2388.15,8263.63,100,0.03
98,0.0077,-0.0003,1432.16,21.61,2388.24,48.29,2388.26,8122.22,100,0.03
99,-0.0019,-0.0004,1421.56,21.61,2388.29,48.29,2388.24,8127.53,100,0.03
100,-0.0032,-0.0005,1432.14,21.61,2388.26,48.2,2388.26,8137.33,100,0.03
101,42.0017,0.8414,1149.81,5.71,2211.38,42.77,2387.4,8066.19,100,0.02
102,42.0047,0.8411,1146.65,5.72,2212.32,42.64,2388.42,8110.26,100,0.02
103,42.0073,0.84,1144.89,5.72,2211.81,42.85,2387.87,8082.25,100,0.02
104,0.003,0.0007,1428.21,21.61,2388.17,48.25,2388.17,8215.14,100,0.03
105,42.0049,0.8408,1146.87,5.72,2212.99,42.67,2389.19,8151.36,100,0.02
106,42.0012,0.8404,1145.99,5.71,2211.5,42.82,2387.53,8065.96,100,0.02
107,42.0018,0.84,1145.93,5.72,2213.32,42.65,2389.46,8171.96,100,0.02
108,25.0067,0.62,1061.95,9.03,1915.39,37.31,2028.3,7882.01,60,0.02
109,10.0047,0.2519,1332.19,15.5,2319.18,46.18,2388.42,8102.98,100,0.03
110,0.0014,0,1424.97,21.61,2388.35,48.24,2388.29,8121.02,100,0.03
111,42.005,0.84,1144.57,5.72,2213.23,42.83,2389.4,8167.76,100,0.02
112,10.0047,0.25,1326.77,15.5,2319.18,46.25,2388.43,8132.04,100,0.03
113,35.0009,0.84,1146.18,8,2222.88,42.67,2387.9,8055.61,100,0.02
114,42.0021,0.84,1146.4,5.72,2211.19,42.68,2387.28,8055.88,100,0.02
115,0.0006,0.0005,1428.28,21.61,2388.21,47.96,2388.18,8181.46,100,0.03
116,25.0042,0.6207,1061.69,9.03,1914.98,37.44,2027.84,7863.46,60,0.02
117,42.0012,0.8415,1145.64,5.72,2212.14,42.62,2388.22,8100.8,100,0.02
118,10.003,0.25,1330.94,15.5,2319.19,46.08,2388.33,8113.83,100,0.03
119,41.9997,0.84,1149.55,5.72,2214.17,42.8,2390.39,8220.01,100,0.02
120,0.0003,0,1434.86,21.61,2388.3,48.21,2388.28,8126.28,100,0.03
121,35.0016,0.84,1142.55,8,2223.68,42.34,2388.85,8115.27,100,0.02
122,42.0035,0.84,1145.64,5.72,2211.6,43.03,2387.7,8079.04,100,0.02
123,42.0047,0.8413,1140.33,5.72,2213.69,42.62,2389.92,8190.63,100,0.02
124,42.0007,0.842,1143.16,5.72,2213.64,42.58,2389.89,8188.59,100,0.02
125,10.0059,0.2513,1324.06,15.5,2319.26,46.08,2388.38,8129.19,100,0.03
126,25.005,0.6202,1067.5,9.03,1915.24,37.43,2028.14,7876.17,60,0.02
127,42.0017,0.842,1138.67,5.72,2213.46,42.73,2389.68,8179.15,100,0.02
128,10.002,0.25,1333.85,15.5,2319.16,46.01,2388.41,8104.98,100,0.03
129,9.9992,0.25,1338.88,15.5,2319.22,46.12,2388.42,8117.46,100,0.03
130,10.0019,0.25,1332.54,15.5,2319.17,46.11,2388.41,8144.83,100,0.03
131,0.0004,0,1427.81,21.61,2388.17,48.1,2388.18,8204.59,100,0.03
132,0.0005,0.0008,1421.53,21.61,2388.22,48.18,2388.18,8196.84,100,0.03
133,42.0061,0.8419,1144.1,5.72,2212.89,42.71,2389.05,8149.54,100,0.02
134,10.0029,0.2512,1330.2,15.5,2319.19,46.05,2388.43,8129.21,100,0.03
135,42.0027,0.84,1147.6,5.72,2213.25,42.61,2389.44,8165.94,100,0.02
136,10.0015,0.2516,1331.12,15.5,2319.23,46.07,2388.39,8111.56,100,0.03
137,0.0011,0,1427.28,21.61,2388.3,48.22,2388.3,8121.69,100,0.03
138,42,0.84,1147.89,5.71,2211.34,42.72,2387.37,8067.73,100,0.02
139,42.0043,0.84,1138.58,5.72,2211.62,42.84,2387.73,8073.27,100,0.02
140,42.0054,0.8418,1141.34,5.72,2211.99,42.62,2388.07,8100.76,100,0.02
141,34.9999,0.8411,1152.5,8,2223.3,42.71,2388.46,8088.07,100,0.02
142,42.0024,0.84,1141.21,5.72,2211.77,42.84,2387.85,8083.91,100,0.02
143,42.0012,0.8411,1140.84,5.72,2213.8,42.51,2390.05,8199.27,100,0.02
144,25.0004,0.6203,1069.3,9.03,1915.82,37.36,2028.75,7900.94,60,0.02
145,35.0048,0.8404,1143.26,8,2222.44,42.69,2387.49,8043.82,100,0.02
146,42.002,0.8402,1145.4,5.72,2213.04,42.62,2389.13,8145.66,100,0.02
147,42.0057,0.8411,1142.75,5.72,2213.49,42.66,2389.72,8186.65,100,0.02
148,42.0079,0.8413,1146.17,5.72,2213.69,42.63,2389.86,8185.3,100,0.02
149,10.0002,0.25,1331.58,15.5,2319.19,46.13,2388.38,8146.92,100,0.03
150,42.0014,0.8415,1151.31,5.72,2211.6,42.64,2387.59,8071.33,100,0.02
151,42.0075,0.84,1152.8,5.72,2212.05,42.61,2388.16,8102.47,100,0.02
152,42.0012,0.84,1147.81,5.72,2213.38,42.73,2389.59,8166.98,100,0.02
153,0.0011,0,1433.63,21.61,2388.27,48.27,2388.23,8129.78,100,0.03
154,42.0059,0.84,1136.58,5.72,2211.85,42.87,2387.85,8086.03,100,0.02
