event_time,label
192,1
287,0
179,1
189,1
269,0
188,1
259,0
150,1
201,0
222,0
240,0
170,1
163,1
180,1
207,0
209,0
276,0
195,1
158,1
234,0
195,1
202,0
168,1
147,1
230,0
199,1
156,1
165,1
163,1
194,1
234,0
191,1
200,1
195,1
181,1
158,1
170,1
194,1
128,1
188,1
216,0
196,1
207,0
192,1
158,1
256,0
214,0
231,0
215,0
198,1
213,0
213,0
195,1
257,0
193,1
275,0
137,1
147,1
231,0
172,1
185,1
180,1
174,1
283,0
153,1
202,0
313,0
199,1
362,0
137,1
208,0
213,0
213,0
166,1
229,0
210,0
154,1
231,0
199,1
185,1
240,0
214,0
293,0
267,0
188,1
278,0
178,1
213,0
217,0
154,1
135,1
341,0
155,1
258,0
283,0
336,0
202,0
156,1
185,1
200,1
149,1
269,0
206,0
235,0
154,1
175,1
174,1
151,1
199,1
184,1
271,0
249,0
227,0
193,1
209,0
154,1
180,1
209,0
163,1
154,1
189,1
192,1
211,0
191,1
205,0
187,1
176,1
200,1
151,1
166,1
343,0
281,0
195,1
205,0
196,1
203,0
210,0
177,1
214,0
193,1
262,0
221,0
211,0
205,0
151,1
201,0
246,0
239,0
168,1
222,0
293,0
174,1
148,1
199,1
159,1
163,1
140,1
162,1
194,1
177,1
218,0
184,1
168,1
282,0
206,0
170,1
145,1
185,1
136,1
156,1
194,1
196,1
239,0
158,1
231,0
244,0
185,1
161,1
181,1
221,0
288,0
200,1
170,1
259,0
347,0
190,1
170,1
365,0
188,1
188,1
245,0
188,1
189,1
306,0
198,1
208,0
145,1
167,1
202,0
212,0
211,0
164,1
280,0
228,0
303,0
272,0
145,1
156,1
220,0
221,0
200,1
378,0
232,0
203,0
206,0
207,0
177,1
344,0
174,1
129,1
210,0
185,1
226,0
267,0
168,1
199,1
256,0
303,0
202,0
182,1
280,0
183,1
159,1
247,0
294,0
160,1
148,1
200,1
194,1
214,0
163,1
208,0
166,1
224,0
251,0
263,0
207,0
279,0
289,0
222,0
177,1
184,1
292,0
193,1
226,0
299,0
237,0
308,0
241,0
212,0
224,0
194,1
203,0
249,0
165,1
204,0
232,0
217,0
185,1
179,1
258,0
174,1
151,1
193,1
202,0
164,1
181,1
148,1
181,1
297,0
255,0
200,1
207,0
171,1
162,1
194,1
168,1
148,1
209,0
257,0
219,0
133,1
172,1
148,1
190,1
239,0
154,1
205,0
219,0
227,0
191,1
197,1
269,0
237,0
198,1
221,0
184,1
150,1
201,0
184,1
214,0
149,1
196,1
146,1
226,0
229,0
162,1
237,0
156,1
234,0
178,1
195,1
218,0
174,1
156,1
178,1
184,1
262,0
176,1
186,1
144,1
242,0
190,1
159,1
183,1
239,0
209,0
156,1
263,0
266,0
183,1
273,0
230,0
128,1
253,0
194,1
197,1
234,0
202,0
184,1
266,0
135,1
149,1
260,0
340,0
163,1
309,0
143,1
205,0
316,0
259,0
253,0
222,0
272,0
213,0
278,0
424,0
267,0
406,0
481,0
197,1
170,1
185,1
207,0
202,0
344,0
312,0
447,0
229,0
338,0
220,0
192,1
196,1
494,0
193,1
243,0
320,0
200,1
223,0
218,0
183,1
189,1
231,0
459,0
231,0
324,0
324,0
201,0
288,0
188,1
295,0
193,1
321,0
180,1
205,0
204,0
269,0
174,1
256,0
161,1
190,1
222,0
164,1
194,1
525,0
195,1
215,0
178,1
299,0
190,1
199,1
246,0
231,0
195,1
234,0
165,1
263,0
201,0
170,1
172,1
409,0
232,0
215,0
193,1
259,0
153,1
255,0
221,0
166,1
147,1
347,0
285,0
181,1
226,0
266,0
341,0
172,1
322,0
207,0
181,1
156,1
158,1
171,1
392,0
166,1
491,0
275,0
307,0
145,1
152,1
321,0
299,0
307,0
274,0
193,1
331,0
221,0
230,0
334,0
354,0
301,0
272,0
256,0
253,0
224,0
184,1
151,1
343,0
210,0
245,0
227,0
211,0
280,0
186,1
150,1
297,0
163,1
202,0
247,0
297,0
263,0
219,0
201,0
276,0
221,0
143,1
388,0
177,1
202,0
206,0
279,0
280,0
223,0
203,0
177,1
321,0
375,0
322,0
446,0
172,1
285,0
357,0
304,0
197,1
344,0
347,0
193,1
281,0
177,1
218,0
244,0
297,0
170,1
184,1
351,0
175,1
167,1
163,1
226,0
185,1
312,0
308,0
181,1
244,0
230,0
152,1
148,1
250,0
218,0
305,0
187,1
197,1
184,1
159,1
277,0
232,0
259,0
388,0
168,1
212,0
354,0
191,1
196,1
249,0
239,0
270,0
262,0
245,0
167,1
261,0
260,0
194,1
224,0
203,0
170,1
266,0
183,1
304,0
325,0
186,1
297,0
340,0
184,1
161,1
131,1
344,0
342,0
543,0
187,1
177,1
194,1
174,1
226,0
170,1
239,0
302,0
235,0
248,0
190,1
166,1
370,0
254,0
489,0
247,0
149,1
205,0
225,0
178,1
251,0
298,0
199,1
209,0
184,1
297,0
228,0
303,0
234,0
193,1
261,0
149,1
351,0
262,0
168,1
203,0
295,0
139,1
298,0
399,0
288,0
187,1
303,0
313,0
285,0
380,0
255,0
269,0
263,0
196,1
227,0
161,1
399,0
273,0
457,0
370,0
156,1
180,1
242,0
170,1
435,0
344,0
134,1
205,0
190,1
379,0
259,0
163,1
273,0
254,0
239,0
381,0
297,0
190,1
197,1
145,1
159,1
174,1
170,1
164,1
176,1
225,0
378,0
241,0
324,0
211,0
242,0
263,0
379,0
290,0
161,1
167,1
146,1
229,0
197,1
128,1
361,0
244,0
200,1
236,0
190,1
202,0
274,0
202,0
247,0
268,0
418,0
194,1
287,0
279,0
280,0
250,0
194,1
273,0
289,0
207,0
199,1
225,0
212,0
187,1
365,0
149,1
332,0
222,0
327,0
267,0
205,0
161,1
211,0
184,1
255,0
