cycle,setting1,setting2,setting3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,av1,av2,av3,av4,av5,av6,av7,av8,av9,av10,av11,av12,av13,av14,av15,av16,av17,av18,av19,av20,av21,sd1,sd2,sd3,sd4,sd5,sd6,sd7,sd8,sd9,sd10,sd11,sd12,sd13,sd14,sd15,sd16,sd17,sd18,sd19,sd20,sd21
3,-0.0043,0.0003,100,518.67,642.35,1587.99,1404.2,14.62,21.61,554.26,2388.08,9052.94,1.3,47.27,522.42,2388.03,8133.23,8.4178,0.03,390,2388,100,38.95,23.3442,518.67,642.1066667,1589.836667,1402.646667,14.62,21.61,554.1233333,2388.06,9047.733333,1.3,47.41,522.12,2388.04,8134.446667,8.423033333,0.03,391.3333333,2388,100,39.00333333,23.3956,0,0.267644042,1.918654042,1.850009009,0,0,0.327159492,0.02,4.632022596,0,0.121655251,0.404474968,0.026457513,3.717449843,0.00763959,0,1.154700538,0,0,0.055075705,0.044573086
4,0.0007,0,100,518.67,642.35,1582.79,1401.87,14.62,21.61,554.45,2388.11,9049.48,1.3,47.13,522.86,2388.08,8133.83,8.3682,0.03,392,2388,100,38.88,23.3739,518.67,642.1675,1588.075,1402.4525,14.62,21.61,554.205,2388.0725,9048.17,1.3,47.34,522.305,2388.05,8134.2925,8.409325,0.03,391.5,2388,100,38.9725,23.390175,0,0.250116639,3.855908886,1.559644725,0,0,0.313102752,0.029860788,3.881554671,0,0.171658576,0.495950266,0.029439203,3.050905603,0.028117299,0,1,0,0,0.076321688,0.037976692
5,-0.0019,-0.0002,100,518.67,642.37,1582.85,1406.22,14.62,21.61,554,2388.06,9055.15,1.3,47.28,522.19,2388.04,8133.8,8.4294,0.03,393,2388,100,38.9,23.4044,518.67,642.208,1587.03,1403.206,14.62,21.61,554.164,2388.07,9049.566,1.3,47.328,522.282,2388.048,8134.194,8.41334,0.03,391.8,2388,100,38.958,23.39302,0,0.234776489,4.075677858,2.159439742,0,0,0.28623417,0.026457513,4.587366347,0,0.151062901,0.432573693,0.025884358,2.651326083,0.025952611,0,1.095445115,0,0,0.073620649,0.033498388
6,-0.0043,-0.0001,100,518.67,642.1,1584.47,1398.37,14.62,21.61,554.67,2388.02,9049.68,1.3,47.16,521.68,2388.03,8132.85,8.4108,0.03,391,2388,100,38.98,23.3669,518.67,642.264,1585.984,1402.76,14.62,21.61,554.226,2388.062,9050.264,1.3,47.266,522.286,2388.05,8133.04,8.4116,0.03,391.6,2388,100,38.942,23.3826,0,0.128374452,3.885830671,2.926337301,0,0,0.362670649,0.034928498,4.193903909,0,0.141527383,0.425417442,0.023452079,0.958697032,0.025727029,0,1.140175425,0,0,0.051185936,0.031436364
7,0.001,0.0001,100,518.67,642.48,1592.32,1397.77,14.62,21.61,554.34,2388.02,9059.13,1.3,47.36,522.32,2388.03,8132.32,8.3974,0.03,392,2388,100,39.1,23.3774,518.67,642.33,1586.084,1401.686,14.62,21.61,554.344,2388.058,9053.276,1.3,47.24,522.294,2388.042,8133.206,8.40472,0.03,391.6,2388,100,38.962,23.37336,0,0.139463257,4.075374829,3.648359905,0,0,0.246434575,0.038987177,4.038406864,0,0.094074439,0.42565244,0.021679483,0.643140731,0.023475775,0,1.140175425,0,0,0.086717934,0.02163407
8,-0.0034,0.0003,100,518.67,642.56,1582.96,1400.97,14.62,21.61,553.85,2388,9040.8,1.3,47.24,522.47,2388.03,8131.07,8.4076,0.03,391,2388,100,38.97,23.3106,518.67,642.372,1585.078,1401.04,14.62,21.61,554.262,2388.042,9050.848,1.3,47.234,522.304,2388.042,8132.774,8.40268,0.03,391.8,2388,100,38.966,23.36664,0,0.174269906,4.107952045,3.367046183,0,0,0.334020957,0.043817805,6.915502151,0,0.092628289,0.429918597,0.021679483,1.149273684,0.022476921,0,0.836660027,0,0,0.086486993,0.03440513
9,0.0008,0.0001,100,518.67,642.12,1590.98,1394.8,14.62,21.61,553.69,2388.05,9046.46,1.3,47.29,521.79,2388.05,8125.69,8.3728,0.03,392,2388,100,39.05,23.4066,518.67,642.326,1586.716,1399.626,14.62,21.61,554.11,2388.03,9050.244,1.3,47.266,522.09,2388.036,8131.146,8.4036,0.03,391.8,2388,100,39,23.37318,0,0.208518584,4.573962177,4.289513958,0,0,0.394525031,0.024494897,7.19123981,0,0.073348483,0.341101158,0.008944272,3.205437568,0.020739817,0,0.836660027,0,0,0.077136243,0.038939337
10,-0.0033,0.0001,100,518.67,641.71,1591.24,1400.46,14.62,21.61,553.59,2388.05,9051.7,1.3,47.03,521.79,2388.06,8129.38,8.4286,0.03,393,2388,100,38.95,23.4694,518.67,642.194,1588.394,1398.474,14.62,21.61,554.028,2388.028,9049.554,1.3,47.216,522.01,2388.04,8130.262,8.40344,0.03,391.8,2388,100,39.01,23.38618,0,0.340705151,4.333783566,2.458603262,0,0,0.460239068,0.021679483,6.755115099,0,0.127003937,0.358259682,0.014142136,2.883881066,0.020492633,0,0.836660027,0,0,0.062849025,0.058102685
11,0.0018,-0.0003,100,518.67,642.28,1581.75,1400.64,14.62,21.61,554.54,2388.05,9049.61,1.3,47.15,521.4,2388.01,8140.58,8.434,0.03,392,2388,100,38.94,23.4787,518.67,642.23,1587.85,1398.928,14.62,21.61,554.002,2388.034,9049.54,1.3,47.214,521.954,2388.036,8131.808,8.40808,0.03,392,2388,100,39.002,23.40854,0,0.337786915,5.05944661,2.637663739,0,0,0.416497299,0.023021729,6.754861212,0,0.128179562,0.436153643,0.019493589,5.501815155,0.024758271,0,0.707106781,0,0,0.069785385,0.069267727
12,0.0016,0.0002,100,518.67,642.06,1583.41,1400.15,14.62,21.61,554.52,2388.09,9049.37,1.3,47.18,521.8,2388.02,8134.25,8.3938,0.03,391,2388,100,39.06,23.366,518.67,642.146,1586.068,1399.404,14.62,21.61,554.038,2388.048,9047.588,1.3,47.178,521.85,2388.034,8132.194,8.40736,0.03,391.8,2388,100,38.994,23.40626,0,0.311255522,4.643465301,2.590777875,0,0,0.458661095,0.031937439,4.228530478,0,0.09884331,0.38619943,0.020736441,5.613290479,0.025195,0,0.836660027,0,0,0.056833089,0.07072134
2,0.0043,-0.0003,100,518.67,641.82,1587.05,1393.13,14.62,21.61,554.77,2387.98,9051.31,1.3,47.24,522.7,2387.98,8131.09,8.4167,0.03,392,2388,100,39.06,23.4085,518.67,641.855,1585.445,1392.205,14.62,21.605,554.65,2387.995,9053.015,1.3,47.085,522.515,2388.02,8134.405,8.4036,0.03,391.5,2388,100,39,23.4335,0,0.049497475,2.269812768,1.308147545,0,0.007071068,0.169705627,0.021213203,2.411234124,0,0.219203102,0.261629509,0.056568542,4.688117959,0.018526198,0,0.707106781,0,0,0.084852814,0.035355339
