time,label,true_time,true_label,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41
0,0,0,1,3030.93,2564,2187.7333,1411.1265,1.3602,100,97.6133,0.1242,1.5005,0.0162,-0.0034,0.9455,202.4396,7.9558,414.871,748.6115,0.9908,58.4306,0.6002,0.9804,6.3788,15.88,2.639,15.94,15.93,0.8656,3.353,0.4098,3.188,-0.0473,0.7243,0.996,2.2967,1000.7263,39.2373,123,111.3,75.2,46.2,350.671,0.3948
1,0,1,1,3095.78,2465.14,2230.4222,1463.6606,0.8294,100,102.3433,0.1247,1.4966,-0.0005,-0.0148,0.9627,200.547,10.1548,414.7347,731.2517,0.9902,58.668,0.5958,0.9731,6.5061,15.88,2.541,15.91,15.88,0.8703,2.771,0.4138,3.272,-0.0946,0.8122,0.9985,2.2932,998.1081,37.9213,98,80.3,81,56.2,219.7679,0.2301
34,2,34,2,2932.61,2559.94,2186.4111,1698.0172,1.5102,100,95.4878,0.1241,1.4436,0.0041,0.0013,0.9615,202.0179,9.5157,416.7075,718.5777,0.9899,58.4808,0.6015,0.9772,6.4527,15.9,2.882,15.94,15.95,0.8798,3.094,0.4777,3.272,-0.1892,0.8194,0.9978,2.2592,998.444,42.0579,89,126.4,96.5,45.1001,306.038,0.3263
9,0,9,2,2988.72,2479.9,2199.0333,909.7926,1.3204,100,104.2367,0.1217,1.4882,-0.0124,-0.0033,0.9629,201.8482,9.6052,422.2894,709.0867,0.9906,58.6635,0.6016,0.9761,6.4935,15.55,3.132,15.61,15.59,1.366,2.48,0.5176,3.119,0.2838,0.7244,0.9961,2.3802,980.451,41.1025,127,118,123.7,47.8,162.432,0.1915
2,0,10,2,3032.24,2502.87,2233.3667,1326.52,1.5334,100,100.3967,0.1235,1.5031,-0.0031,-0.0072,0.9569,201.9424,10.5661,420.5925,796.595,0.9908,58.3858,0.5913,0.9628,6.3551,15.75,3.148,15.73,15.71,0.946,3.027,0.5328,3.299,-0.5677,0.778,1.001,2.3715,993.1274,38.1448,119,143.2,123.1,48.8,296.303,0.3744
11,2,11,2,2946.25,2432.84,2233.3667,1326.52,1.5334,100,100.3967,0.1235,1.5287,0.0167,0.0055,0.9699,200.472,8.6617,414.2426,748.0887,0.9907,58.656,0.6081,0.9632,6.3186,15.88,2.541,15.91,15.88,0.8703,2.771,0.4138,3.272,-0.0946,0.8122,0.9985,2.2932,998.1081,37.9213,123,159.8,119.3,48.8,296.303,0.3744
37,0,40,2,3030.27,2430.12,2230.4222,1463.6606,0.8294,100,102.3433,0.1247,1.5816,-0.027,0.0105,0.9591,202.0901,9.035,415.8852,806.2734,0.9905,58.823,0.6034,0.9754,6.5398,15.83,2.575,15.89,15.84,0.8089,2.854,0.4162,3.383,-0.4731,0.7589,0.9966,2.3216,995.1991,36.9578,89,173.7,122.5,56.2,219.7679,0.2301
5,1,5,1,3058.88,2690.15,2248.9,1004.4692,0.7884,100,106.24,0.1185,1.5153,0.0157,0.0007,0.9481,202.417,13.6872,408.4017,778.3335,0.9902,59.0421,0.6039,0.9622,6.3241,15.78,2.27,15.86,15.8,0.7568,2.645,0.3273,3.442,0.7096,0.7863,0.9951,2.3437,992.8298,40.5458,91,175.4,201.1,55.5,249.9639,0.0577
24,0,106,1,2967.68,2600.47,2248.9,1004.4692,0.7884,100,106.24,0.1185,1.5358,0.0111,-0.0066,0.9494,202.4544,12.6837,417.6009,748.563,0.9906,58.7785,0.6054,0.9635,6.3354,15.78,2.27,15.86,15.8,0.7568,2.645,0.3273,3.442,0.7096,0.7863,0.9951,2.3437,992.8298,40.5458,91,136.1,116.8,55.5,249.9639,0.0577
0,0,0,2,3016.11,2428.37,2248.9,1004.4692,0.7884,100,106.24,0.1185,1.5381,0.0159,0.0049,0.944,202.5999,12.4278,413.3677,786.6071,0.9905,58.3664,0.5849,0.9799,6.2053,15.78,2.27,15.86,15.8,0.7568,2.645,0.3273,3.442,0.7096,0.7863,0.9951,2.3437,992.8298,40.5458,123,175.8,211.9,55.5,249.9639,0.0577
