,log,ada,rf,rsf,cox,WAFT
0,0.6978355564583475,0.5782720563342135,0.6997765590087345,"(0.7196414387836151, 31711, 12354, 0, 0)","(0.6925451038238966, 30517, 13548, 0, 0)",0.6977904168641524
1,0.7187601428107757,0.6215978114712292,0.7230838781471692,"(0.7318368107302533, 31428, 11516, 0, 0)","(0.699399217585693, 30035, 12909, 0, 0)",0.7222144943663931
2,0.7196551347811851,0.6115573502128124,0.7006766342900796,"(0.726500230551347, 33087, 12456, 0, 0)","(0.7012054541861538, 31935, 13608, 0, 0)",0.7256357088289861
3,0.6666891390817771,0.5776983752443875,0.678666936335648,"(0.6995820625776573, 30966, 13297, 2, 0)","(0.6666214842426296, 29508, 14757, 0, 0)",0.6685768219510551
4,0.6896953025814643,0.590844971081958,0.6943739126345982,"(0.7055556868398043, 29857, 12460, 0, 0)","(0.6879977314081811, 29114, 13203, 0, 0)",0.6906592373160295
5,0.6965930758804475,0.5731466378736015,0.6972822715890555,"(0.727224417180749, 31475, 11806, 0, 0)","(0.6982047549733139, 30219, 13062, 0, 0)",0.6985228238645501
6,0.7236064137813573,0.596170223119784,0.731939949877126,"(0.7364831834180681, 30131, 10781, 0, 0)","(0.7156091122409073, 29277, 11635, 0, 0)",0.7189347672692766
7,0.6965022441855193,0.5992202022033821,0.6938840277462937,"(0.7221602168416736, 31705, 12198, 0, 0)","(0.7003621620390406, 30748, 13155, 0, 0)",0.6911071315228725
8,0.6810548644408599,0.5594272709194158,0.6951852752060454,"(0.7102138823424785, 31944, 13034, 0, 0)","(0.6672817822046334, 30013, 14965, 0, 0)",0.6881918819188192
9,0.7071948222584491,0.5591498576607703,0.70493199347916,"(0.7236227596156197, 29594, 11303, 0, 0)","(0.6975817297112258, 28529, 12368, 0, 0)",0.7116961483247768
10,0.7134317625115171,0.5853951774197172,0.7066338569406054,"(0.7193172826946987, 31819, 12416, 0, 0)","(0.7107041935119249, 31438, 12797, 0, 0)",0.7077911863187937
11,0.6739694904251866,0.5863819724579218,0.694289887327862,"(0.6973947895791583, 29928, 12986, 0, 0)","(0.6713426853707415, 28810, 14104, 0, 0)",0.6696805304400241
12,0.7115256495669554,0.6074456109719957,0.6979714672976636,"(0.7256451128514334, 31411, 11876, 0, 0)","(0.7028207082957932, 30423, 12864, 0, 0)",0.7052539686186221
13,0.6949643493761141,0.6437054367201426,0.6948195187165775,"(0.702938146638599, 31389, 13265, 0, 0)","(0.6789761275585614, 30319, 14335, 0, 0)",0.6892379679144385
