footfall,atemp,selfLR,ClinLR,DoleLR,PID,outpressure,inpressure,temp
1,2,5,4,6,5,22,4,1
2,2,5,4,6,5,22,4,1
3,2,5,4,6,5,22,4,1
4,2,5,4,6,5,22,4,1
5,2,5,4,6,5,22,4,1
6,2,5,4,6,5,22,4,1
7,2,5,4,6,5,22,4,1
8,2,5,4,6,5,22,4,1
9,2,5,4,6,5,22,4,1
10,2,5,4,6,5,22,4,1
11,2,5,4,6,5,22,4,1
12,2,5,4,6,5,22,4,1
13,2,5,4,6,5,22,4,1
14,2,5,4,6,5,22,4,1
15,2,5,4,6,5,22,4,1
16,2,5,4,6,5,22,4,1
17,2,5,4,6,5,22,4,1
18,2,5,4,6,5,22,4,1
19,2,5,4,6,5,22,4,1
20,2,5,4,6,5,22,4,1
21,2,5,4,6,5,22,4,1
22,2,5,4,6,5,22,4,1
23,2,5,4,6,5,22,4,1
24,2,5,4,6,5,22,4,1
25,2,5,4,6,5,22,4,1
26,2,5,4,6,5,22,4,1
27,2,5,4,6,5,22,4,1
28,2,5,4,6,5,22,4,1
29,2,5,4,6,5,22,4,1
30,2,5,4,6,5,22,4,1
31,2,5,4,6,5,22,4,1
32,2,5,4,6,5,22,4,1
33,2,5,4,6,5,22,4,1
34,2,5,4,6,5,22,4,1
35,2,5,4,6,5,22,4,1
36,2,5,4,6,5,22,4,1
37,2,5,4,6,5,22,4,1
38,2,5,4,6,5,22,4,1
39,2,5,4,6,5,22,4,1
40,2,5,4,6,5,22,4,1
41,2,5,4,6,5,22,4,1
42,2,5,4,6,5,22,4,1
43,2,5,4,6,5,22,4,1
44,2,5,4,6,5,22,4,1
45,2,5,4,6,5,22,4,1
46,2,5,4,6,5,22,4,1
47,2,5,4,6,5,22,4,1
48,2,5,4,6,5,22,4,1
49,2,5,4,6,5,22,4,1
50,2,5,4,6,5,22,4,1
51,2,5,4,6,5,22,4,1
52,2,5,4,6,5,22,4,1
53,2,5,4,6,5,22,4,1
54,2,5,4,6,5,22,4,1
55,2,5,4,6,5,22,4,1
56,2,5,4,6,5,22,4,1
57,2,5,4,6,5,22,4,1
58,2,5,4,6,5,22,4,1
59,2,5,4,6,5,22,4,1
60,2,5,4,6,5,22,4,1
61,2,5,4,6,5,22,4,1
62,2,5,4,6,5,22,4,1
63,2,5,4,6,5,22,4,1
64,2,5,4,6,5,22,4,1
65,2,5,4,6,5,22,4,1
66,2,5,4,6,5,22,4,1
67,2,5,4,6,5,22,4,1
68,2,5,4,6,5,22,4,1
69,2,5,4,6,5,22,4,1
70,2,5,4,6,5,22,4,1
71,2,5,4,6,5,22,4,1
72,2,5,4,6,5,22,4,1
73,2,5,4,6,5,22,4,1
74,2,5,4,6,5,22,4,1
75,2,5,4,6,5,22,4,1
76,2,5,4,6,5,22,4,1
77,2,5,4,6,5,22,4,1
78,2,5,4,6,5,22,4,1
79,2,5,4,6,5,22,4,1
80,2,5,4,6,5,22,4,1
81,2,5,4,6,5,22,4,1
82,2,5,4,6,5,22,4,1
83,2,5,4,6,5,22,4,1
84,2,5,4,6,5,22,4,1
85,2,5,4,6,5,22,4,1
86,2,5,4,6,5,22,4,1
87,2,5,4,6,5,22,4,1
88,2,5,4,6,5,22,4,1
89,2,5,4,6,5,22,4,1
90,2,5,4,6,5,22,4,1
91,2,5,4,6,5,22,4,1
92,2,5,4,6,5,22,4,1
93,2,5,4,6,5,22,4,1
94,2,5,4,6,5,22,4,1
95,2,5,4,6,5,22,4,1
96,2,5,4,6,5,22,4,1
97,2,5,4,6,5,22,4,1
98,2,5,4,6,5,22,4,1
99,2,5,4,6,5,22,4,1
100,2,5,4,6,5,22,4,1
101,2,5,4,6,5,22,4,1
102,2,5,4,6,5,22,4,1
103,2,5,4,6,5,22,4,1
104,2,5,4,6,5,22,4,1
105,2,5,4,6,5,22,4,1
106,2,5,4,6,5,22,4,1
107,2,5,4,6,5,22,4,1
108,2,5,4,6,5,22,4,1
109,2,5,4,6,5,22,4,1
110,2,5,4,6,5,22,4,1
111,2,5,4,6,5,22,4,1
112,2,5,4,6,5,22,4,1
113,2,5,4,6,5,22,4,1
114,2,5,4,6,5,22,4,1
115,2,5,4,6,5,22,4,1
116,2,5,4,6,5,22,4,1
117,2,5,4,6,5,22,4,1
118,2,5,4,6,5,22,4,1
119,2,5,4,6,5,22,4,1
120,2,5,4,6,5,22,4,1
121,2,5,4,6,5,22,4,1
122,2,5,4,6,5,22,4,1
123,2,5,4,6,5,22,4,1
124,2,5,4,6,5,22,4,1
125,2,5,4,6,5,22,4,1
126,2,5,4,6,5,22,4,1
127,2,5,4,6,5,22,4,1
128,2,5,4,6,5,22,4,1
129,2,5,4,6,5,22,4,1
130,2,5,4,6,5,22,4,1
131,2,5,4,6,5,22,4,1
132,2,5,4,6,5,22,4,1
133,2,5,4,6,5,22,4,1
134,2,5,4,6,5,22,4,1
135,2,5,4,6,5,22,4,1
136,2,5,4,6,5,22,4,1
137,2,5,4,6,5,22,4,1
138,2,5,4,6,5,22,4,1
139,2,5,4,6,5,22,4,1
140,2,5,4,6,5,22,4,1
141,2,5,4,6,5,22,4,1
142,2,5,4,6,5,22,4,1
143,2,5,4,6,5,22,4,1
144,2,5,4,6,5,22,4,1
145,2,5,4,6,5,22,4,1
146,2,5,4,6,5,22,4,1
147,2,5,4,6,5,22,4,1
148,2,5,4,6,5,22,4,1
149,2,5,4,6,5,22,4,1
150,2,5,4,6,5,22,4,1
151,2,5,4,6,5,22,4,1
152,2,5,4,6,5,22,4,1
153,2,5,4,6,5,22,4,1
154,2,5,4,6,5,22,4,1
155,2,5,4,6,5,22,4,1
156,2,5,4,6,5,22,4,1
157,2,5,4,6,5,22,4,1
158,2,5,4,6,5,22,4,1
159,2,5,4,6,5,22,4,1
160,2,5,4,6,5,22,4,1
161,2,5,4,6,5,22,4,1
162,2,5,4,6,5,22,4,1
163,2,5,4,6,5,22,4,1
164,2,5,4,6,5,22,4,1
165,2,5,4,6,5,22,4,1
166,2,5,4,6,5,22,4,1
167,2,5,4,6,5,22,4,1
