machine_name,operational_setting_1,operational_setting_2,sensor_measurement_04,sensor_measurement_06,sensor_measurement_08,sensor_measurement_11,sensor_measurement_13,sensor_measurement_14,operational_setting_3,sensor_measurement_16
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
0.001,0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1
