operational_setting_1,operational_setting_2,sensor_measurement_04,sensor_measurement_06,sensor_measurement_08,sensor_measurement_11,sensor_measurement_13,sensor_measurement_14,operational_setting_3,sensor_measurement_16,event_time
0,0.001,0.963,1,0.999,0.976,0.994,0.587,1,1,192
0,0.001,0.972,1,0.999,0.964,0.994,0.733,1,1,287
0,0.001,0.965,1,0.999,0.962,0.994,0.913,1,1,179
0,0,0.977,1,0.999,0.967,0.994,0.923,1,1,189
0,0.001,0.972,1,0.999,0.976,0.994,0.817,1,1,269
0,0,0.983,1,0.999,0.972,0.994,0.569,1,1,188
0,0,0.983,1,0.999,0.951,0.994,0.666,1,1,259
0,0,0.976,1,0.999,0.975,0.994,0.611,1,1,150
0,0.001,0.966,1,1,0.963,0.995,0.991,1,1,201
0,0,0.986,1,0.999,0.962,0.994,0.751,1,1,222
0,0.001,0.976,1,0.999,0.97,0.994,0.829,1,1,240
0,0,0.983,1,0.999,0.961,0.994,0.614,1,1,170
0,0,0.971,1,0.999,0.973,0.994,0.815,1,1,163
0,0,0.964,1,0.999,0.982,0.994,0.78,1,1,180
0,0.001,0.98,1,0.999,0.98,0.994,0.613,1,1,207
0,0,0.969,1,0.999,0.978,0.994,0.635,1,1,209
0,0,0.976,1,0.999,0.959,0.994,0.875,1,1,276
0,0,0.965,1,1,0.955,0.994,0.975,1,1,195
0,0.001,0.98,1,0.999,0.974,0.994,0.601,1,1,158
0,0,0.972,1,0.999,0.967,0.994,0.66,1,1,234
0,0.001,0.977,1,0.999,0.957,0.994,0.844,1,1,195
0,0,0.97,1,0.999,0.968,0.994,0.63,1,1,202
0,0.001,0.974,1,0.999,0.97,0.994,0.626,1,1,168
0,0.001,0.972,1,0.999,0.97,0.994,0.607,1,1,147
0,0.001,0.977,1,0.999,0.964,0.994,0.81,1,1,230
0,0.001,0.976,1,0.999,0.958,0.994,0.839,1,1,199
0,0.001,0.968,1,0.999,0.976,0.994,0.811,1,1,156
0,0,0.974,1,0.999,0.957,0.994,0.712,1,1,165
0,0,0.987,1,0.999,0.969,0.994,0.611,1,1,163
0,0.001,1,1,0.999,0.969,0.994,0.604,1,1,194
0,0,0.959,1,0.999,0.982,0.994,0.601,1,1,234
0,0,0.983,1,0.999,1,0.994,0.689,1,1,191
0,0,0.979,1,0.999,0.978,0.994,0.625,1,1,200
0,0.001,0.981,1,0.999,0.983,0.994,0.858,1,1,195
0,0.001,0.974,1,0.999,0.961,0.994,0.714,1,1,181
0,0,0.976,1,0.999,0.976,0.994,0.618,1,1,158
0,0,0.959,1,0.999,0.989,0.994,0.6,1,1,170
0,0.001,0.96,1,0.999,0.999,0.994,0.829,1,1,194
0,0.001,0.965,1,0.999,0.977,0.994,0.577,1,1,128
0,0,0.978,1,0.999,0.956,0.994,0.795,1,1,188
0,0,0.967,1,0.999,0.983,0.994,0.821,1,1,216
0,0.001,0.964,1,0.999,0.951,0.994,0.639,1,1,196
0,0.001,0.964,1,0.999,0.956,0.994,0.592,1,1,207
0,0,0.993,1,0.999,0.958,0.994,0.687,1,1,192
0,0,0.991,1,0.999,0.979,0.994,0.698,1,1,158
0,0.001,0.98,1,0.999,0.973,0.994,0.603,1,1,256
0,0,0.979,1,0.999,0.978,0.994,0.735,1,1,214
0,0,0.984,1,1,0.952,0.995,0.992,1,1,231
0,0,0.978,1,0.999,0.976,0.994,0.649,1,1,215
0,0.001,0.98,1,0.999,0.955,0.994,0.789,1,1,198
0,0.001,0.966,1,1,0.944,0.995,1,1,1,213
0,0,0.987,1,0.999,0.969,0.994,0.747,1,1,213
0,0,0.952,1,0.999,0.969,0.994,0.858,1,1,195
0,0,0.978,1,0.999,0.967,0.994,0.834,1,1,257
0,0.001,0.979,1,0.999,0.97,0.994,0.918,1,1,193
0,0.001,0.963,1,0.999,0.968,0.994,0.827,1,1,275
0,0,0.976,1,0.999,0.976,0.994,0.581,1,1,137
0,0.001,0.991,1,0.999,0.983,0.994,0.607,1,1,147
0,0,0.959,1,0.999,0.966,0.994,0.656,1,1,231
0,0.001,0.981,1,0.999,0.957,0.994,0.801,1,1,172
0,0.001,0.96,1,0.999,0.974,0.994,0.584,1,1,185
0,0,0.963,1,0.999,0.968,0.994,0.615,1,1,180
0,0,0.956,1,0.999,0.972,0.994,0.877,1,1,174
0,0,0.959,1,0.999,0.967,0.994,0.747,1,1,283
0,0,0.977,1,0.999,0.961,0.994,0.584,1,1,153
0,0.001,0.968,1,0.999,0.97,0.994,0.671,1,1,202
0,0,0.957,1,0.999,0.978,0.994,0.666,1,1,313
0,0,0.97,1,0.999,0.968,0.994,0.848,1,1,199
0,0.001,0.965,1,0.999,0.955,0.994,0.617,1,1,362
0,0.001,0.983,1,0.999,0.968,0.994,0.729,1,1,137
0,0.001,0.99,1,0.999,0.955,0.994,0.845,1,1,208
0,0,0.964,1,0.999,0.969,0.994,0.57,1,1,213
0,0.001,0.967,1,0.999,0.964,0.994,0.595,1,1,213
0,0.001,0.973,1,0.999,0.96,0.994,0.616,1,1,166
0,0.001,0.978,1,0.999,0.973,0.994,0.573,1,1,229
0,0.001,0.975,1,0.999,0.975,0.994,0.633,1,1,210
0,0,0.953,1,0.999,0.961,0.994,0.672,1,1,154
0,0.001,0.966,1,0.999,0.973,0.994,0.7,1,1,231
0,0,0.988,1,0.999,0.971,0.994,0.71,1,1,199
0,0.001,0.948,1,0.999,0.958,0.994,0.855,1,1,185
0,0,0.953,1,0.999,0.964,0.994,0.629,1,1,240
0,0.001,0.964,1,0.999,0.98,0.994,0.942,1,1,214
0,0,0.972,1,0.999,0.972,0.994,0.597,1,1,293
0,0.001,0.97,1,0.999,0.969,0.994,0.675,1,1,267
0,0.001,0.983,1,0.999,0.969,0.994,0.617,1,1,188
0,0,0.958,1,0.999,0.968,0.994,0.68,1,1,278
0,0.001,0.978,1,0.999,0.963,0.994,0.61,1,1,178
0,0.001,0.975,1,0.999,0.989,0.994,0.817,1,1,213
0,0,0.973,1,0.999,0.988,0.994,0.686,1,1,217
0,0,0.98,1,0.999,0.989,0.994,0.587,1,1,154
0,0,0.976,1,0.999,0.981,0.994,0.597,1,1,135
0,0,0.965,1,0.999,0.955,0.994,0.792,1,1,341
0,0.001,0.966,1,0.999,0.971,0.994,0.646,1,1,155
0,0.001,0.958,1,0.999,0.976,0.994,0.829,1,1,258
0,0.001,0.972,1,0.999,0.968,0.994,0.751,1,1,283
0,0,0.976,1,0.999,0.969,0.994,0.662,1,1,336
0,0.001,0.963,1,0.999,0.948,0.994,0.932,1,1,202
0,0,0.976,1,0.999,0.979,0.994,0.613,1,1,156
0,0,0.948,1,0.999,0.979,0.994,0.625,1,1,185
0,0,0.976,1,0.999,0.971,0.994,0.647,1,1,200
1,0.999,0.237,0.002,0.626,0.496,0.992,0.486,1,0,149
1,0.999,0.229,0.003,0.628,0.485,0.995,0.586,1,0,269
1,0.998,0.225,0.003,0.627,0.503,0.993,0.522,1,0,206
0,0.001,0.965,1,0.999,0.976,0.994,0.823,1,1,235
1,0.999,0.23,0.003,0.629,0.487,0.997,0.678,1,0,154
1,0.998,0.228,0.002,0.626,0.5,0.992,0.486,1,0,175
