,log,ada,rf,rsf,cox
0,0.090024571,0.197873871,0.0880508,[0.],[0.]
1,0.090766135,0.197538033,0.0941743,[0.],[0.]
2,0.08457026,0.200305206,0.0844525,[0.],[0.]
3,0.083374598,0.198219192,0.0837057,[0.],[0.]
4,0.08810486,0.200731275,0.0879066,[0.],[0.]
5,0.085960372,0.201389576,0.0886277,[0.],[0.]
6,0.091517882,0.195680671,0.0963745,[0.],[0.]
7,0.078762032,0.19344557,0.0790842,[0.],[0.]
8,0.097253238,0.201001317,0.0997361,[0.],[0.]
9,0.096833358,0.197895043,0.0955407,[0.],[0.]
10,0.08169839,0.198896504,0.0836112,[0.],[0.]
11,0.09064333,0.191057405,0.0920091,[0.],[0.]
12,0.097123355,0.195768509,0.096175,[0.],[0.]
13,0.093452839,0.195113112,0.09284,[0.],[0.]
14,0.09153441,0.196238312,0.0907323,[0.],[0.]
15,0.087010364,0.195251386,0.0875018,[0.],[0.]
16,0.082794094,0.196869362,0.0843783,[0.],[0.]
17,0.089255326,0.196809571,0.0892532,[0.],[0.]
18,0.084066755,0.195200921,0.0849752,[0.],[0.]
19,0.096706825,0.198498655,0.0928618,[0.],[0.]
20,0.102058789,0.197344949,0.1001522,[0.],[0.]
21,0.081979169,0.203495563,0.0851469,[0.],[0.]
22,0.085135169,0.2044658,0.0847728,[0.],[0.]
23,0.081060915,0.199173101,0.0828347,[0.],[0.]
24,0.084878919,0.196353983,0.0857355,[0.],[0.]
25,0.094754297,0.199015517,0.0929632,[0.],[0.]
26,0.08866392,0.200921291,0.0862221,[0.],[0.]
27,0.090243676,0.195985932,0.0901764,[0.],[0.]
28,0.085516919,0.198081598,0.0863787,[0.],[0.]
29,0.091479253,0.199529843,0.0889785,[0.],[0.]
30,0.099708917,0.199130629,0.0993931,[0.],[0.]
31,0.085334419,0.193520154,0.0864624,[0.],[0.]
32,0.099331133,0.194741788,0.0996579,[0.],[0.]
33,0.081512183,0.200562427,0.0829818,[0.],[0.]
34,0.079691044,0.199853363,0.0810525,[0.],[0.]
35,0.09312817,0.196993048,0.091963,[0.],[0.]
36,0.089889483,0.204861815,0.0897544,[0.],[0.]
37,0.08857931,0.197884431,0.0874282,[0.],[0.]
38,0.083718507,0.194880681,0.0856428,[0.],[0.]
39,0.078968306,0.194523402,0.080449,[0.],[0.]
40,0.092895583,0.199075485,0.092297,[0.],[0.]
41,0.085500373,0.198425399,0.0869591,[0.],[0.]
42,0.098490491,0.197214566,0.0940612,[0.],[0.]
43,0.090580765,0.194353108,0.0901999,[0.],[0.]
44,0.091483471,0.196339319,0.0917779,[0.],[0.]
45,0.085318539,0.198561155,0.0874139,[0.],[0.]
46,0.08944266,0.198986966,0.0899465,[0.],[0.]
47,0.090659475,0.198549823,0.0905548,[0.],[0.]
48,0.098362819,0.194941914,0.0961603,[0.],[0.]
49,0.092116188,0.19648599,0.092559,[0.],[0.]
,0.078762032,0.191057405,0.0790842,,
,0.102058789,0.204861815,0.1001522,,
,0.089238717,0.197760731,0.089441334,,
,0.001661886,0.000779555,0.001461047,,
