,log,ada,rf,rsf,cox
0,0.060332786,0.107916196,0.066329,0.07067002,0.06435382
1,0.063753283,0.114645702,0.0664928,0.06986652,0.06683478
2,0.062511249,0.103084035,0.0630508,0.06835394,0.0645399
3,0.058196767,0.114961419,0.0621596,0.06496018,0.06131212
4,0.067042994,0.110305877,0.0687286,0.0727527,0.07038832
5,0.059665376,0.113470019,0.0650484,0.06674666,0.06217334
6,0.06352853,0.111715362,0.067236,0.07238528,0.06631924
7,0.064978344,0.120326896,0.0720129,0.07280415,0.06753643
8,0.066165892,0.111769229,0.0701575,0.07436245,0.07049717
9,0.060844657,0.106099184,0.063471,0.06954512,0.06420346
10,0.069355681,0.118554922,0.0742576,0.07718273,0.07224778
11,0.05826126,0.104380606,0.0592472,0.05927689,0.05945712
12,0.066535608,0.103769431,0.0688947,0.07131136,0.06900813
13,0.058433782,0.115501886,0.0653849,0.06619294,0.06127097
14,0.067066832,0.10705964,0.0715229,0.07705929,0.06983677
15,0.064096121,0.109519022,0.0675754,0.07144722,0.06759096
16,0.057452178,0.098270512,0.0584654,0.06248739,0.06046729
17,0.05402992,0.112800661,0.0582955,0.06374371,0.06089391
18,0.075847803,0.102748233,0.0760234,0.08515395,0.08235707
19,0.06193311,0.120714232,0.0654914,0.06994145,0.06874058
20,0.061562381,0.120126036,0.065806,0.07116314,0.06572391
21,0.063426148,0.107037835,0.0654796,0.07217743,0.06988905
22,0.05818388,0.123364366,0.0613736,0.06781872,0.06179715
23,0.073090796,0.110668088,0.0734568,0.07414517,0.07481197
24,0.069240869,0.112196467,0.0696603,0.07314535,0.07117827
25,0.065494204,0.118726057,0.0677213,0.07344141,0.06996606
26,0.062586074,0.114642259,0.0650999,0.06812351,0.06494525
27,0.051979461,0.098075653,0.054345,0.06094195,0.05802591
28,0.067943453,0.11209439,0.0734418,0.07633168,0.07097694
29,0.053987073,0.100478287,0.0581531,0.05761952,0.05718185
30,0.063772914,0.104441407,0.0652221,0.0717674,0.06875117
31,0.063529003,0.121477357,0.0633937,0.06889575,0.0697132
32,0.064160833,0.121128714,0.0662148,0.07358632,0.07018264
33,0.06005934,0.111649981,0.0628593,0.06254601,0.05962066
34,0.063509116,0.113440064,0.0651414,0.07225433,0.07018511
35,0.059725847,0.135442517,0.0627456,0.06428017,0.06105234
36,0.063416687,0.124847656,0.067986,0.07410924,0.0709625
37,0.068906475,0.121589868,0.0699488,0.0759619,0.0752785
38,0.064449938,0.103476226,0.0658479,0.07094327,0.06484207
39,0.06893809,0.101314072,0.0707397,0.07683106,0.07562708
40,0.05568875,0.099133819,0.0572525,0.06070908,0.05935022
41,0.056671214,0.128576871,0.0602946,0.06530301,0.06038692
42,0.0642142,0.10375318,0.0668348,0.07156367,0.06732952
43,0.06048205,0.100149753,0.06327,0.06947826,0.06583103
44,0.054966172,0.100887217,0.0579868,0.06349695,0.06062099
45,0.063346542,0.104965153,0.0664878,0.06982906,0.06619478
46,0.060553697,0.105784076,0.0633982,0.06307063,0.06162878
47,0.060252433,0.125814048,0.0632367,0.06969106,0.0663838
48,0.069034797,0.108730987,0.0696583,0.07267863,0.07042219
49,0.068547494,0.112024169,0.0690891,0.07108364,0.07021757
,0.051979461,0.098075653,0.054345,0.05761952,0.05718185
,0.075847803,0.135442517,0.0760234,0.08515395,0.08235707
,0.062835042,0.111472993,0.06563981,0.069784625,0.066582132
,0.001396944,0.002430817,0.00133079,0.001496446,0.001472515
