,log,ada,rf,rsf,cox
0,0.772892529,0.714938833,0.707445152,0.768502679,0.774121929
1,0.778793874,0.722604383,0.708363624,0.771013853,0.779462122
2,0.771950108,0.717352505,0.70647725,0.767614559,0.772704029
3,0.770647065,0.713926438,0.713530886,0.763444189,0.771322841
4,0.780095283,0.719070132,0.711985787,0.775947706,0.780630716
5,0.775676726,0.723175835,0.706940689,0.769328374,0.776077419
6,0.776989713,0.729059549,0.721448338,0.76779832,0.776361692
7,0.772735279,0.723627603,0.707083928,0.764981222,0.773314302
8,0.778708683,0.730237607,0.707370696,0.771795548,0.778844632
9,0.772747949,0.71183607,0.707989908,0.763104747,0.773477759
10,0.776421718,0.715668534,0.718763741,0.771984073,0.77662435
11,0.767159656,0.693017335,0.713099568,0.760269932,0.766919223
12,0.760440277,0.713215176,0.704540579,0.754265963,0.760662884
13,0.777561056,0.714714794,0.708745076,0.770941512,0.777231595
14,0.775857315,0.722218844,0.722570568,0.764790668,0.776414804
15,0.762231803,0.722724881,0.709490122,0.756082503,0.763349122
16,0.766201825,0.713498189,0.708607453,0.763859441,0.766003934
17,0.775655443,0.717147103,0.719497127,0.763519707,0.775560554
18,0.769330687,0.72858494,0.709407486,0.75938171,0.771216162
19,0.759121686,0.701373374,0.704263413,0.753176117,0.760050051
20,0.784360578,0.716845305,0.722968882,0.776139109,0.784787852
21,0.771613054,0.729385675,0.708912223,0.767432326,0.772942001
22,0.777375103,0.692865242,0.708959327,0.772938492,0.777447867
23,0.774776802,0.720489669,0.715151147,0.767304087,0.773858673
24,0.779556548,0.709442115,0.712350991,0.772678816,0.779732537
25,0.768509697,0.707546693,0.705479327,0.764585344,0.769090258
26,0.77156033,0.708623324,0.716185303,0.766178836,0.772243374
27,0.770718226,0.719568955,0.697361605,0.763171315,0.770224371
28,0.771460747,0.705316235,0.71352089,0.767301098,0.772392103
29,0.774304659,0.721474059,0.71429465,0.769072448,0.774708223
30,0.773374456,0.713841642,0.705497017,0.769361917,0.77363333
31,0.764597019,0.708616636,0.714125269,0.757180194,0.764786728
32,0.783003833,0.723898353,0.71825065,0.776098609,0.782736534
33,0.77092294,0.707834062,0.712635949,0.763942232,0.772002254
34,0.765076347,0.718175751,0.703714228,0.76050359,0.765436343
35,0.776675755,0.701245283,0.713003818,0.772744453,0.776936495
36,0.762420382,0.691992721,0.705677889,0.75657062,0.762135274
37,0.763385871,0.702719994,0.713004748,0.753882596,0.763523541
38,0.767610959,0.711608533,0.708396522,0.761708624,0.769483369
39,0.769608349,0.725338573,0.708406365,0.761139717,0.769406185
40,0.776907731,0.714792873,0.718408541,0.771788308,0.776909748
41,0.776389069,0.719769946,0.719791194,0.771764911,0.777469725
42,0.772216825,0.730167598,0.709911141,0.76574164,0.772338272
43,0.763128456,0.722974747,0.702615191,0.757488561,0.763915981
44,0.76679231,0.726589236,0.705795587,0.761537903,0.767347211
45,0.761585214,0.731084777,0.69304109,0.751984348,0.76108799
46,0.776031085,0.731276117,0.704925109,0.770546387,0.775934046
47,0.764946457,0.686551474,0.713366448,0.75638483,0.763761779
48,0.764815164,0.720153166,0.707130384,0.761123922,0.765324231
49,0.775460549,0.727237271,0.715409301,0.77194429,0.775068506
,0.759121686,0.686551474,0.69304109,0.751984348,0.760050051
,0.784360578,0.731276117,0.722968882,0.776139109,0.784787852
,0.771608064,0.715908363,0.710518243,0.765240847,0.771940298
,0.001715658,0.003045379,0.001720447,0.001803989,0.001707561
