,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,pre
398,0.423241117,0.281638343,0.050825821,-0.647516355,-0.635263929,-0.774926911,-0.029372348,-0.452234774,0.306219572,-0.698472613,1.042802468
3833,0.067184068,0.113628974,-0.983246128,-0.076391192,-0.128892895,0.023866562,-0.316990485,-0.63384834,0.415147455,-0.908955626,0.251090695
4836,-0.930653611,-0.666608125,-0.257057083,0.992226722,-0.900585918,-0.779365794,-0.979492044,0.462429241,0.316625165,0.115549507,-2.195617527
4572,-0.993234027,0.266976956,0.043814589,-0.570758539,-0.02607986,0.315750476,0.331294162,-0.895849045,-0.314307992,-0.366510618,-0.520708347
636,-0.834494816,0.42314766,-0.030524476,-0.569509171,-0.827234195,0.150595679,-0.147022678,-0.001897521,0.301889424,0.310561758,-0.000346871
2545,0.802704819,0.57279952,-0.949391407,-0.760057778,0.421418383,0.589920374,-0.969201137,-0.488194563,0.642174855,-0.846696525,1.941350069
1161,-0.757736489,0.535772207,0.713053951,0.137079527,-0.770714361,-0.322789225,0.044596121,0.663127979,-0.152677785,0.157092683,0.379029971
2230,-0.249435319,-0.41114051,-0.234401793,-0.891822733,-0.352084253,0.698841697,0.692618129,-0.185961447,0.585667034,0.67673431,-1.203353374
148,0.99467089,0.224741271,0.910254194,0.335609052,-0.378162027,0.022297145,-0.453853212,-0.656944143,-0.042239966,-0.513706174,1.558983296
2530,0.585777852,-0.082968891,0.30247556,-0.270610114,0.781323244,-0.502131186,0.211678674,0.377774319,0.086230543,0.098646442,0.450795785
4070,0.526767191,0.040503296,-0.617911953,0.722384401,0.482494965,0.918754014,0.086819975,-0.364112189,0.264100402,0.348508712,0.518904127
1261,-0.693250194,0.916528185,-0.284799976,0.934149658,0.311140024,-0.126054219,0.224521303,-0.804172018,-0.295505268,-0.986205076,1.112870066
4682,0.362470196,0.129169732,0.937730463,-0.292804085,0.470050307,0.559835621,0.679698563,-0.190398834,0.213085485,-0.951074513,0.594183974
333,0.535231669,-0.094459708,-0.303979003,-0.634107234,-0.596021526,0.372324612,0.702485719,0.037037027,-0.823885825,-0.708165567,0.305660417
906,-0.567398705,-0.928789454,-0.968189838,0.291759152,-0.152926322,0.772510255,0.082136026,0.812949371,-0.329214063,0.855778162,-2.53758111
3170,-0.014026329,-0.140781801,0.685544522,-0.121423108,-0.227784827,0.478085834,0.657311208,0.235496088,-0.421921874,0.277912011,-0.315911903
483,0.093195363,-0.174586682,0.17896655,-0.729180396,-0.452696936,0.634354379,-0.794253998,0.974522759,-0.479248542,0.340574599,-0.191737376
2825,0.035377881,-0.50858896,-0.430076937,0.171854658,-0.600529272,-0.18319177,-0.577079738,-0.966503295,-0.345220714,0.239316067,-0.957100545
