,log,ada,rf,rsf,cox,WAFT
0,0.697835556,0.578272056,0.699776559,0.719641439,0.692545104,0.697790417
1,0.718760143,0.621597811,0.723083878,0.731836811,0.699399218,0.722214494
2,0.719655135,0.61155735,0.700676634,0.726500231,0.701205454,0.725635709
3,0.666689139,0.577698375,0.678666936,0.699582063,0.666621484,0.668576822
4,0.689695303,0.590844971,0.694373913,0.705555687,0.687997731,0.690659237
5,0.696593076,0.573146638,0.697282272,0.727224417,0.698204755,0.698522824
6,0.723606414,0.596170223,0.73193995,0.736483183,0.715609112,0.718934767
7,0.696502244,0.599220202,0.693884028,0.722160217,0.700362162,0.691107132
8,0.681054864,0.559427271,0.695185275,0.710213882,0.667281782,0.688191882
9,0.707194822,0.559149858,0.704931993,0.72362276,0.69758173,0.711696148
10,0.713431763,0.585395177,0.706633857,0.719317283,0.710704194,0.707791186
11,0.67396949,0.586381972,0.694289887,0.69739479,0.671342685,0.66968053
12,0.71152565,0.607445611,0.697971467,0.725645113,0.702820708,0.705253969
13,0.694964349,0.643705437,0.694819519,0.702938147,0.678976128,0.689237968
14,0.707054523,0.600631394,0.721842436,0.728035868,0.691834399,0.713748249
15,0.696582933,0.586589027,0.703929402,0.725721547,0.692843529,0.694190534
16,0.703267793,0.589252746,0.710652635,0.724461867,0.693333643,0.698352257
17,0.698735735,0.628026404,0.717106735,0.727084505,0.698931023,0.704822108
18,0.707999265,0.606239518,0.70292219,0.711134211,0.7003234,0.698235659
19,0.678432514,0.569954583,0.684814254,0.701573255,0.677506204,0.689192966
20,0.688539961,0.577618742,0.691245935,0.722473893,0.699918936,0.673846994
21,0.688613815,0.642109842,0.692540086,0.744596414,0.684501453,0.691364555
22,0.674063116,0.585130397,0.68840675,0.712011992,0.678460419,0.673361823
23,0.698925934,0.571604386,0.704654285,0.726387888,0.692952415,0.703692101
24,0.686277873,0.595300172,0.708450543,0.708151249,0.666751001,0.693619211
25,0.684826203,0.624610071,0.703609626,0.704880563,0.673732802,0.689884135
26,0.675211849,0.592822047,0.665503572,0.693783558,0.67218709,0.684350447
27,0.718637993,0.566094614,0.694450379,0.698826224,0.722301746,0.707552992
28,0.674133791,0.586575186,0.68273299,0.709664059,0.678946157,0.687764437
29,0.677903105,0.583575035,0.675990976,0.703244213,0.671515335,0.688623912
30,0.71557991,0.596846897,0.710751928,0.716025513,0.708536125,0.721788895
31,0.692757693,0.583491283,0.684544285,0.704674304,0.689430474,0.68987949
32,0.712911166,0.586596554,0.706500336,0.711364557,0.704728483,0.709644216
33,0.690078926,0.60939952,0.687171144,0.718022784,0.6919097,0.686363427
34,0.709325672,0.599637681,0.703544724,0.708817593,0.702275732,0.702194683
35,0.677605703,0.618608653,0.700491642,0.709098992,0.674792531,0.684144543
36,0.685791005,0.609151936,0.690053703,0.711508169,0.676673118,0.68686507
37,0.6946956,0.579844206,0.696237307,0.69793997,0.678318419,0.698961376
38,0.712738708,0.552601487,0.694030875,0.705322232,0.704724228,0.716397942
39,0.685569192,0.616965251,0.691341045,0.716044423,0.682561437,0.685945361
40,0.704633205,0.565157365,0.701123201,0.716577289,0.699713049,0.704914005
41,0.68409028,0.594975999,0.6914982,0.715134357,0.679816216,0.686190344
42,0.69110588,0.573409951,0.687194221,0.711318916,0.692500464,0.695675252
43,0.697384894,0.585083693,0.690684843,0.730858901,0.692949734,0.689572031
44,0.677436248,0.604553734,0.695423497,0.714190921,0.674629325,0.684198543
45,0.688184888,0.59850904,0.681235498,0.693873778,0.678875973,0.679478049
46,0.677891796,0.587488558,0.683829551,0.70155902,0.676333882,0.679553885
47,0.718407927,0.595210689,0.692001264,0.71095735,0.720235935,0.715135306
48,0.668082892,0.589488464,0.704590021,0.705139436,0.667445369,0.684666037
49,0.699305819,0.616306954,0.724775969,0.726463201,0.698886267,0.697387353
,0.666689139,0.552601487,0.665503572,0.693783558,0.666621484,0.668576822
,0.723606414,0.643705437,0.73193995,0.744596414,0.722301746,0.725635709
,0.694685235,0.593189501,0.697587844,0.714300781,0.689640565,0.695537026
,0.004260151,0.005687073,0.003597252,0.003275458,0.004077165,0.003876528
