,log,ada,rf,rsf,cox,WAFT,log,ada,rf,rsf,cox,WAFT,0,1
0,0.687007163,0.612497816,0.695381748,0.702390294,0.679599939,0.686995516,0.220870226,0.342052314,0.209728169,0.193976291,0.221597321,0.230569819,0.67347736,0.230426099
1,0.688268719,0.625427641,0.685398047,0.706975112,0.675085657,0.703196212,0.212952499,0.336016097,0.216357344,0.194834179,0.216053603,0.234973483,0.684894365,0.218856378
2,0.69864969,0.606484209,0.687106348,0.719276257,0.681983912,0.712809824,0.22133851,0.370221328,0.221909457,0.204428465,0.222572358,0.20504643,0.706807512,0.222041865
3,0.651488064,0.603492598,0.653281686,0.697648054,0.646432725,0.66288078,0.223023035,0.368209256,0.222545674,0.199814179,0.216810828,0.239797444,0.688528026,0.232704156
4,0.70623004,0.58661042,0.684851518,0.687935744,0.693296437,0.698829782,0.208703798,0.376257545,0.209501408,0.188438883,0.207578944,0.250950035,0.662931358,0.23369027
5,0.703960165,0.593005649,0.688259274,0.707450048,0.698039399,0.688457283,0.210185652,0.374245473,0.207100805,0.188269095,0.207934317,0.237845732,0.630678821,0.237780786
6,0.702658011,0.582214601,0.696411073,0.717217149,0.690445719,0.70444635,0.208955281,0.402414487,0.205302213,0.177089038,0.208136923,0.251837251,0.62697159,0.231275009
7,0.685477265,0.592003092,0.686469523,0.708064161,0.675647464,0.680896724,0.216200095,0.360160966,0.208044064,0.186390252,0.212951555,0.234124648,0.661061356,0.222231475
8,0.674974983,0.588232249,0.687109649,0.674757899,0.664738346,0.673031136,0.221126509,0.390342052,0.212641449,0.197528173,0.224060111,0.22780225,0.675761496,0.220314259
9,0.695659946,0.575706659,0.682563516,0.734123087,0.68837889,0.704454454,0.209825866,0.39637827,0.210121932,0.174988214,0.206314891,0.231226941,0.687450243,0.217846218
10,0.701261091,0.579046048,0.701220708,0.708643279,0.693934154,0.6989189,0.212402809,0.398390342,0.204003421,0.18958479,0.212334376,0.213749401,0.682174786,0.218192828
11,0.678630845,0.596397768,0.676595519,0.692875874,0.674668059,0.667539792,0.211653132,0.374245473,0.209735614,0.192106677,0.207634242,0.264526259,0.700167824,0.223447435
12,0.706003623,0.605534106,0.672082797,0.695004193,0.71495148,0.688950856,0.209573261,0.3722334,0.20717827,0.182005101,0.205084965,0.251272525,0.679686681,0.227465865
13,0.69471911,0.577511509,0.680908262,0.674905737,0.665026974,0.696922846,0.216466355,0.402414487,0.2158666,0.204706104,0.218642783,0.223399461,0.698667151,0.21106202
14,0.685692177,0.605029213,0.695139947,0.704140442,0.6647134,0.715277195,0.21346746,0.3722334,0.208572032,0.194680131,0.215628732,0.211118535,0.69571571,0.226164181
15,0.720364583,0.577430556,0.688090278,0.68178433,0.710962682,0.700734954,0.209958604,0.406438632,0.215212877,0.191088897,0.210553154,0.224899108,0.67601406,0.217265935
16,0.705911659,0.591646543,0.725324127,0.729951093,0.692758235,0.717094929,0.210392211,0.382293763,0.190887525,0.170133351,0.205745326,0.209510724,0.672879472,0.220023133
17,0.710158137,0.600205508,0.700329742,0.701474761,0.699081048,0.695238482,0.211644811,0.376257545,0.206185312,0.192278623,0.211697635,0.217139398,0.57820657,0.260761978
